dedupe	devocalize	split 1	split 2	split 3	split4	IsWord
אבערוואדאס	אבערוואדאס	אבערוואדאס				
אבערווישווא	אבערווישווא	אבערווישווא				
אבער ווישווא	אבער ווישווא	אבער	ווישווא			
אבערווישווע	אבערווישווע	אבערווישווע				
אבער ווישווע	אבער ווישווע	אבער	ווישווע			
אבערזיצק	אבערזיצק	אבערזיצק				
אבערטילערי	אבערטילערי	אבערטילערי				
אבערטין	אבערטין	אבערטין				
אָבערטין	אָבערטין	אָבערטין				
אָבערטין 	אָבערטין 	אָבערטין				
אבערלאנץ	אבערלאנץ	אבערלאנץ				
אבער-לאנץ	אבער-לאנץ	אבער-לאנץ				
אבערלוישטאט	אבערלוישטאט	אבערלוישטאט				
אָבערלױשטאַט	אָבערלױשטאַט	אָבערלױשטאַט				
אבערמאשעל	אבערמאשעל	אבערמאשעל				
אָבערמאָשעל	אָבערמאָשעל	אָבערמאָשעל				
אבערן	אבערן	אבערן				
אבערנברייט	אבערנברייט	אבערנברייט				
אבערן ברייט	אבערן ברייט	אבערן	ברייט			
אבערנדארף	אבערנדארף	אבערנדארף				
אבערנהיים	אבערנהיים	אבערנהיים				
אבערנצען	אבערנצען	אבערנצען				
אָבערנצען	אָבערנצען	אָבערנצען				
אבער פעטישן	אבער פעטישן	אבער	פעטישן			
אבער ריבניטץ	אבער ריבניטץ	אבער	ריבניטץ			
אבערשטיין	אבערשטיין	אבערשטיין				
אָבערשטײן	אָבערשטײן	אָבערשטײן				
אבערשיצק	אבערשיצק	אבערשיצק				
אבראהאם	אבראהאם	אבראהאם				
אַבראַהאַם	אַבראַהאַם	אַבראַהאַם				
אבראהם	אבראהם	אבראהם				
אבראַזעז	אבראַזעז	אבראַזעז				
אבראט	אבראט	אבראט				
אבראם	אבראם	אבראם				
אבראן	אבראן	אבראן				
אָבראַן	אָבראַן	אָבראַן				
אבראני	אבראני	אבראני				
אָבראָני	אָבראָני	אָבראָני				
אבראַנקע	אבראַנקע	אבראַנקע				
אברארשל	אברארשל	אברארשל				
אברהאם	אברהאם	אברהאם				
אברודבאניע	אברודבאניע	אברודבאניע				
אָברודבאַניע	אָברודבאַניע	אָברודבאַניע				
אברווישא	אברווישא	אברווישא				
אברזידק	אברזידק	אברזידק				
אברטין	אברטין	אברטין				
אבריגהיים	אבריגהיים	אבריגהיים				
אָבריגהיים	אָבריגהיים	אָבריגהיים				
אבריטין	אבריטין	אבריטין				
אברינגא	אברינגא	אברינגא				
אברישארע	אברישארע	אברישארע				
אברמובו	אברמובו	אברמובו				
אבשא	אבשא	אבשא				
אגאכסיה	אגאכסיה	אגאכסיה				
אגאכסיו	אגאכסיו	אגאכסיו				
אגארד	אגארד	אגארד				
אַגאַרד	אַגאַרד	אַגאַרד				
אגדענסבורג	אגדענסבורג	אגדענסבורג				
אגוסטאב	אגוסטאב	אגוסטאב				
אגטינא	אגטינא	אגטינא				
אגיזינסק	אגיזינסק	אגיזינסק				
אגיסטב	אגיסטב	אגיסטב				
אגנע	אגנע	אגנע				
אגערבעק	אגערבעק	אגערבעק				
אגרא	אגרא	אגרא				Y
אגראביטש	אגראביטש	אגראביטש				
אגראדזענץ	אגראדזענץ	אגראדזענץ				
אָגראָזענץ	אָגראָזענץ	אָגראָזענץ				
אגראם	אגראם	אגראם				
אגריפון	אגריפון	אגריפון				
אגריש	אגריש	אגריש				
אַגריש	אַגריש	אַגריש				
אגרמונט	אגרמונט	אגרמונט				
אגרעש	אגרעש	אגרעש				
אדא	אדא	אדא				
אדאבעשט	אדאבעשט	אדאבעשט				
אָדאָבעשט	אָדאָבעשט	אָדאָבעשט				
אדאבעשטי	אדאבעשטי	אדאבעשטי				
אדאָװסק	אדאָװסק	אדאָװסק				
אָדאַלדאָ 	אָדאַלדאָ 	אָדאַלדאָ				
אדאמאוו	אדאמאוו	אדאמאוו				
אַדאַמאָװ	אַדאַמאָװ	אַדאַמאָװ				
אדאמאש	אדאמאש	אדאמאש				
אַדאַמאַש	אַדאַמאַש	אַדאַמאַש				
אדאמוב	אדאמוב	אדאמוב				
אדאמוש	אדאמוש	אדאמוש				
אַדאַמוש	אַדאַמוש	אַדאַמוש				
אדאמיש	אדאמיש	אדאמיש				
אַדאָמעװקע 	אַדאָמעװקע 	אַדאָמעװקע				
אדאן	אדאן	אדאן				
אָדאָן	אָדאָן	אָדאָן				
אדאני	אדאני	אדאני				
אָדאָני	אָדאָני	אָדאָני				
אדאראש	אדאראש	אדאראש				
אָדאָרהױ 	אָדאָרהױ 	אָדאָרהױ				
אדארהיי	אדארהיי	אדארהיי				
אד-דאר אל-בידא	אד-דאר אל-בידא	אד-דאר	אל-בידא			
אדווארי	אדווארי	אדווארי				
אדווארנאק	אדווארנאק	אדווארנאק				
אדזאעט	אדזאעט	אדזאעט				
אדזע	אדזע	אדזע				
אדזשוד	אדזשוד	אדזשוד				
אדזשיוויל	אדזשיוויל	אדזשיוויל				
אָדזשיװיל 	אָדזשיװיל 	אָדזשיװיל				
אדיאק פאלא	אדיאק פאלא	אדיאק	פאלא			
אדיגפאָלװאָ	אדיגפאָלװאָ	אדיגפאָלװאָ				
אדיגת	אדיגת	אדיגת				
א דיערעש	א דיערעש	א	דיערעש			
אדירנה	אדירנה	אדירנה				
אדלסדארף	אדלסדארף	אדלסדארף				
אַדלסדאָרף	אַדלסדאָרף	אַדלסדאָרף				
אַדעזשין	אַדעזשין	אַדעזשין				
אדעלבורג	אדעלבורג	אדעלבורג				
אדעלנוי	אדעלנוי	אדעלנוי				
אדעלנויא	אדעלנויא	אדעלנויא				
אדעלסק	אדעלסק	אדעלסק				
אַדעלסק	אַדעלסק	אַדעלסק				
אַדעלסק 	אַדעלסק 	אַדעלסק				
אדעם	אדעם	אדעם				
אַדעמיש 	אַדעמיש 	אַדעמיש				
אדעס	אדעס	אדעס				
אַדעס	אַדעס	אַדעס				
אַדעס 	אַדעס 	אַדעס				
אדעסא	אדעסא	אדעסא				
אדעסה	אדעסה	אדעסה				
אדעססא	אדעססא	אדעססא				
אדעססי	אדעססי	אדעססי				
אדעססע	אדעססע	אדעססע				
אָדער 	אָדער 	אָדער				
אדער בערג אין גאליציען	אדער בערג אין גאליציען	אדער	בערג	אין	גאליציען	
אָדערכעװ 	אָדערכעװ 	אָדערכעװ				
אַדערסדאָרף	אַדערסדאָרף	אַדערסדאָרף				
אַדעשדאָרף	אַדעשדאָרף	אַדעשדאָרף				
אדראַכאָװ	אדראַכאָװ	אדראַכאָװ				
אדריאנאפאל	אדריאנאפאל	אדריאנאפאל				
אַדריאַנאָפּאָל	אַדריאַנאָפּאָל	אַדריאַנאָפּאָל				
אדריאנופולי	אדריאנופולי	אדריאנופולי				
אדריאנופלי	אדריאנופלי	אדריאנופלי				
אדרינפוליט	אדרינפוליט	אדרינפוליט				
אַדרעזשין 	אַדרעזשין 	אַדרעזשין				
אדרעקקערעסטור	אדרעקקערעסטור	אדרעקקערעסטור				
"אה""ו"	"אה""ו"	"אה""ו"				
"אה""ק"	"אה""ק"	"אה""ק"				
אָהאָט	אָהאָט	אָהאָט				
אהאטקאטש	אהאטקאטש	אהאטקאטש				
אָהאָטקאָטש	אָהאָטקאָטש	אָהאָטקאָטש				
אהאלאָװ	אהאלאָװ	אהאלאָװ				
אהובניב	אהובניב	אהובניב				
אהייא	אהייא	אהייא				
אהיפאלא	אהיפאלא	אהיפאלא				
אהלויא	אהלויא	אהלויא				
אהנאווקא	אהנאווקא	אהנאווקא				
אהריב	אהריב	אהריב				
אָהריב	אָהריב	אָהריב				
אהרישאר	אהרישאר	אהרישאר				
אהרליך	אהרליך	אהרליך				
אהרשקוט, ארשקוט	אהרשקוט, ארשקוט	אהרשקוט,	ארשקוט			
"או""ד"	"או""ד"	"או""ד"				
"או""י"	"או""י"	"או""י"				YES
אוב בשלעזיא	אוב בשלעזיא	אוב	בשלעזיא			
אובילא	אובילא	אובילא				
אובין	אובין	אובין				
אובין ישן	אובין ישן	אובין	ישן			
אובליא	אובליא	אובליא				
אובלע	אובלע	אובלע				
אובן	אובן	אובן				
אובן ישן	אובן ישן	אובן	ישן			
אובעראורשל	אובעראורשל	אובעראורשל				
אובער-וויקיב	אובער-וויקיב	אובער-וויקיב				
אובער-ווישא	אובער-ווישא	אובער-ווישא				
אובערווישאווע	אובערווישאווע	אובערווישאווע				
אובערזיצק	אובערזיצק	אובערזיצק				
אובערשימצק	אובערשימצק	אובערשימצק				
אובראן	אובראן	אובראן				
אוברווישא	אוברווישא	אוברווישא				
אוברזיצק	אוברזיצק	אוברזיצק				
אוברטין	אוברטין	אוברטין				
אוברעזש	אוברעזש	אוברעזש				
אוגאַלין	אוגאַלין	אוגאַלין				
אוגאר	אוגאר	אוגאר				
אוגאָר	אוגאָר	אוגאָר				
אוגארט	אוגארט	אוגארט				
אוגאש	אוגאש	אוגאש				
אוגוסטאוו	אוגוסטאוו	אוגוסטאוו				
אוגלא	אוגלא	אוגלא				
אוגלי 	אוגלי 	אוגלי				
אוגסבורג	אוגסבורג	אוגסבורג				
אוגשפורק	אוגשפורק	אוגשפורק				
אודוארי	אודוארי	אודוארי				
אודווא	אודווא	אודווא				
אודווארד	אודווארד	אודווארד				
אודווארהעלי	אודווארהעלי	אודווארהעלי				
אודווארי	אודווארי	אודווארי				
אודווארי'	אודווארי'	אודווארי'				
אודוואריבא	אודוואריבא	אודוואריבא				
אודוואריבע	אודוואריבע	אודוואריבע				
אודווארנאק	אודווארנאק	אודווארנאק				
אודװא	אודװא	אודװא				
אודװאר	אודװאר	אודװאר				
אודװאָרד	אודװאָרד	אודװאָרד				
אודװאָרהעלי	אודװאָרהעלי	אודװאָרהעלי				
אודװאָרי	אודװאָרי	אודװאָרי				
אודװאריבא	אודװאריבא	אודװאריבא				
אודװאָרנאָק	אודװאָרנאָק	אודװאָרנאָק				
אודז'יבול	אודז'יבול	אודז'יבול				
אודילסק	אודילסק	אודילסק				
אודיסה	אודיסה	אודיסה				
אודיססא	אודיססא	אודיססא				
אודנבורג	אודנבורג	אודנבורג				
אודנבורק	אודנבורק	אודנבורק				
אודסה	אודסה	אודסה				
אוהל	אוהל	אוהל				YES
אוהלווינץ	אוהלווינץ	אוהלווינץ				
אוהן	אוהן	אוהן				
אוהניב	אוהניב	אוהניב				
אוהעל	אוהעל	אוהעל				
אוהעלי	אוהעלי	אוהעלי				
אוהעלך	אוהעלך	אוהעלך				
אוהרשאר	אוהרשאר	אוהרשאר				
אוואנטע	אוואנטע	אוואנטע				
אַוואָנטע	אַוואָנטע	אַוואָנטע				
אווארי	אווארי	אווארי				
אוואשאויוואראש	אוואשאויוואראש	אוואשאויוואראש				
אוואשאויפאלו	אוואשאויפאלו	אוואשאויפאלו				
אווואראוויטש	אווואראוויטש	אווואראוויטש				
אוויניון	אוויניון	אוויניון				
אוויראן	אוויראן	אוויראן				
אווערבאס	אווערבאס	אווערבאס				
א ווערבאס	א ווערבאס	א	ווערבאס			
אוורוטש	אוורוטש	אוורוטש				
אווריטש	אווריטש	אווריטש				
אוושפאל	אוושפאל	אוושפאל				
אוושפּאָל	אוושפּאָל	אוושפּאָל				
אוּװאַראָװיטש 	אוּװאַראָװיטש 	אוּװאַראָװיטש				
אוז'ארוב	אוז'ארוב	אוז'ארוב				
אוז'נדוב	אוז'נדוב	אוז'נדוב				
אוז'פאליאי	אוז'פאליאי	אוז'פאליאי				
אוזאָן	אוזאָן	אוזאָן				
אוזדיוטיץ	אוזדיוטיץ	אוזדיוטיץ				
אוזדיסענטפעטער	אוזדיסענטפעטער	אוזדיסענטפעטער				
אוזדיסענטפּעטער	אוזדיסענטפּעטער	אוזדיסענטפּעטער				
אוזדע	אוזדע	אוזדע				
אוזדע 	אוזדע 	אוזדע				
אוזווינט	אוזווינט	אוזווינט				
אוזווענט	אוזווענט	אוזווענט				
אוזורוב	אוזורוב	אוזורוב				
אוזורקוב	אוזורקוב	אוזורקוב				
אוזװענט	אוזװענט	אוזװענט				
אוזװענט 	אוזװענט 	אוזװענט				
אוזייראן	אוזייראן	אוזייראן				
אוזיערני	אוזיערני	אוזיערני				
אוזיראן	אוזיראן	אוזיראן				
אוזירוב	אוזירוב	אוזירוב				
אוזירנע	אוזירנע	אוזירנע				
אוזירקאב	אוזירקאב	אוזירקאב				
אוזליאן	אוזליאן	אוזליאן				
אוזליאַן 	אוזליאַן 	אוזליאַן				
אוזערנאי	אוזערנאי	אוזערנאי				
אוזערקאוו	אוזערקאוו	אוזערקאוו				
אוזער קאוו	אוזער קאוו	אוזער	קאוו			
אוזראָװיץ	אוזראָװיץ	אוזראָװיץ				
אוזרוב	אוזרוב	אוזרוב				
אוזשהאראך	אוזשהאראך	אוזשהאראך				
אוזשפאל	אוזשפאל	אוזשפאל				
אוזשפּאָל	אוזשפּאָל	אוזשפּאָל				
אוזשפּאָל 	אוזשפּאָל 	אוזשפּאָל				
אוחאנייה	אוחאנייה	אוחאנייה				
אוחניה	אוחניה	אוחניה				
אוטולינגו	אוטולינגו	אוטולינגו				
אוטומאני	אוטומאני	אוטומאני				
אוטיאן	אוטיאן	אוטיאן				
אוטיאַן	אוטיאַן	אוטיאַן				
אוטיאַן	אוטיאַן	אוטיאַן				
אוטיאַן 	אוטיאַן 	אוטיאַן				
אוטינא	אוטינא	אוטינא				
אוטיניה	אוטיניה	אוטיניה				
אוטיץ	אוטיץ	אוטיץ				
אוטיק	אוטיק	אוטיק				
אוטליינגו	אוטליינגו	אוטליינגו				
אוטלינגו	אוטלינגו	אוטלינגו				
אוטרעכט	אוטרעכט	אוטרעכט				
אויאזד	אויאזד	אויאזד				
אויאסט	אויאסט	אויאסט				
אויב	אויב	אויב				
אויבער אפשא	אויבער אפשא	אויבער	אפשא			
אויבער בארסא	אויבער בארסא	אויבער	בארסא			
אויבער ביסטרא	אויבער ביסטרא	אויבער	ביסטרא			
אויבער ווישווא	אויבער ווישווא	אויבער	ווישווא			
אויבער-ווישווה	אויבער-ווישווה	אויבער-ווישווה				
אויבערזיצק	אויבערזיצק	אויבערזיצק				
אויבער סוטש	אויבער סוטש	אויבער	סוטש			
אויבער רינע	אויבער רינע	אויבער	רינע			
אויבר-אפשא	אויבר-אפשא	אויבר-אפשא				
אויבר-ביסטרא	אויבר-ביסטרא	אויבר-ביסטרא				
אויברווישע	אויברווישע	אויברווישע				
אויברזיצק	אויברזיצק	אויברזיצק				
אויבר-רינה	אויבר-רינה	אויבר-רינה				
אויברשיטץ	אויברשיטץ	אויברשיטץ				
אויגוסטאווע	אויגוסטאווע	אויגוסטאווע				
אויגזבורג	אויגזבורג	אויגזבורג				
אויגשבורג	אויגשבורג	אויגשבורג				
אויהעל	אויהעל	אויהעל				
אויהעלי	אויהעלי	אויהעלי				
אויוואר	אויוואר	אויוואר				
אויוואראש	אויוואראש	אויוואראש				
אויווארש	אויווארש	אויווארש				
אויוואשאר	אויוואשאר	אויוואשאר				
אויוועראש	אויוועראש	אויוועראש				
אויזד	אויזד	אויזד				
אויזיני	אויזיני	אויזיני				
אויזינע	אויזינע	אויזינע				
אוילאק	אוילאק	אוילאק				
אוּילאָק	אוּילאָק	אוּילאָק				
אוילווארש	אוילווארש	אוילווארש				
אוילונה	אוילונה	אוילונה				
אוינוון	אוינוון	אוינוון				
אוינייון	אוינייון	אוינייון				
אויסאלאק	אויסאלאק	אויסאלאק				
אויסבאך	אויסבאך	אויסבאך				
אויסטערליץ	אויסטערליץ	אויסטערליץ				
אויסטראביע	אויסטראביע	אויסטראביע				
אויסטרליץ	אויסטרליץ	אויסטרליץ				
אויסע	אויסע	אויסע				
אוי סעקעל	אוי סעקעל	אוי	סעקעל			
אויעזד	אויעזד	אויעזד				
אויערבאך	אויערבאך	אויערבאך				
אויעריך	אויעריך	אויעריך				
אויפאזא	אויפאזא	אויפאזא				
אויפאי לאוי	אויפאי לאוי	אויפאי	לאוי			
אויפאלא	אויפאלא	אויפאלא				
אויפאלו	אויפאלו	אויפאלו				
אויפאלי	אויפאלי	אויפאלי				
אויפאליע	אויפאליע	אויפאליע				
אויפהויזן	אויפהויזן	אויפהויזן				
אויפעהערטו	אויפעהערטו	אויפעהערטו				
אויפעהערטוי	אויפעהערטוי	אויפעהערטוי				
אויפעלד	אויפעלד	אויפעלד				
אויקאניזשע	אויקאניזשע	אויקאניזשע				
אוירא	אוירא	אוירא				
אויראדנא	אויראדנא	אויראדנא				
אויריך	אויריך	אויריך				
אויש	אויש	אויש				
אוישא	אוישא	אוישא				
אוישפורק	אוישפורק	אוישפורק				
אוכװישץ	אוכװישץ	אוכװישץ				
אולא	אולא	אולא				
אולאזוב	אולאזוב	אולאזוב				
אולאנאוו	אולאנאוו	אולאנאוו				
אולאַנאָװ	אולאַנאָװ	אולאַנאָװ				
אולאנוב	אולאנוב	אולאנוב				
אולאָק 	אולאָק 	אולאָק				
אולאשקאוויץ	אולאשקאוויץ	אולאשקאוויץ				
אולאשקובצה	אולאשקובצה	אולאשקובצה				
אולאשקוויץ	אולאשקוויץ	אולאשקוויץ				
אולאשקיוויץ	אולאשקיוויץ	אולאשקיוויץ				
אולה	אולה	אולה				
אולומואוץ	אולומואוץ	אולומואוץ				
אולוץ	אולוץ	אולוץ				
אוליזארקה	אוליזארקה	אוליזארקה				
אוליטש	אוליטש	אוליטש				
אוליינאב	אוליינאב	אוליינאב				
אוליינוב	אוליינוב	אוליינוב				
אולינאב	אולינאב	אולינאב				
אולינוב	אולינוב	אולינוב				
אוליקא	אוליקא	אוליקא				
אולם	אולם	אולם				
אולמא	אולמא	אולמא				Yes
אולמבאך	אולמבאך	אולמבאך				
אולמבאַך	אולמבאַך	אולמבאַך				
אולמוניץ	אולמוניץ	אולמוניץ				
אולניצי	אולניצי	אולניצי				
אולסקו	אולסקו	אולסקו				
אולע	אולע	אולע				
אולע 	אולע 	אולע				
אולפעלד	אולפעלד	אולפעלד				
אולפעלר	אולפעלר	אולפעלר				
אולקייניקי	אולקייניקי	אולקייניקי				
אולקסנדריה	אולקסנדריה	אולקסנדריה				
אולשטין	אולשטין	אולשטין				
אולשניצה	אולשניצה	אולשניצה				
אומא	אומא	אומא				
אומאן	אומאן	אומאן				
אומאַן	אומאַן	אומאַן				
אומאני	אומאני	אומאני				
אומין	אומין	אומין				
אומען	אומען	אומען				
אומען 	אומען 	אומען				
אומשאד	אומשאד	אומשאד				
און	און	און				
אונאוו	אונאוו	אונאוו				
אונאָװ	אונאָװ	אונאָװ				
אונארט	אונארט	אונארט				
אונג' בראד	אונג' בראד	אונג'	בראד			
אונגא	אונגא	אונגא				
אונגאַריש־אָסטרױ	אונגאַריש־אָסטרױ	אונגאַריש־אָסטרױ				
אונגאריש אוסטרוי	אונגאריש אוסטרוי	אונגאריש	אוסטרוי			
אונגאריש בעטשע	אונגאריש בעטשע	אונגאריש	בעטשע			
אונגאריש בראד	אונגאריש בראד	אונגאריש	בראד			
אונגאַריש בראָד	אונגאַריש בראָד	אונגאַריש	בראָד			
אונגארן	אונגארן	אונגארן				
אונגאַרן	אונגאַרן	אונגאַרן				
אונגוואהר	אונגוואהר	אונגוואהר				
אונג וואהר	אונג וואהר	אונג	וואהר			
אונגוואר	אונגוואר	אונגוואר				
אונגווואהר	אונגווואהר	אונגווואהר				
אונגוויר	אונגוויר	אונגוויר				
אונגווער	אונגווער	אונגווער				
אונגורען	אונגורען	אונגורען				
אונגװאַר	אונגװאַר	אונגװאַר				
אונגװער	אונגװער	אונגװער				
אונגען	אונגען	אונגען				
אונגען 	אונגען 	אונגען				
אונגעני	אונגעני	אונגעני				
אונגעניא	אונגעניא	אונגעניא				
אונגעריש נעמיזשע 	אונגעריש נעמיזשע 	אונגעריש	נעמיזשע			
אונגערן	אונגערן	אונגערן				
אונגערן 	אונגערן 	אונגערן				
אונגריש	אונגריש	אונגריש				
אונגריש בראד	אונגריש בראד	אונגריש	בראד			
אונגריש בראדי	אונגריש בראדי	אונגריש	בראדי			
אונגרשבראד	אונגרשבראד	אונגרשבראד				
אונדבורק	אונדבורק	אונדבורק				
אונדע	אונדע	אונדע				
אונטעראויפאלא	אונטעראויפאלא	אונטעראויפאלא				
אונטעראױפאָלאָ	אונטעראױפאָלאָ	אונטעראױפאָלאָ				
אונטעראפשע	אונטעראפשע	אונטעראפשע				
אונטעראַפּשע 	אונטעראַפּשע 	אונטעראַפּשע				
אונטעראָפּשע	אונטעראָפּשע	אונטעראָפּשע				
אונטעראשקעלא	אונטעראשקעלא	אונטעראשקעלא				
אונטערבארסע	אונטערבארסע	אונטערבארסע				
אונטערביסטרע	אונטערביסטרע	אונטערביסטרע				
אונטערבריסטע 	אונטערבריסטע 	אונטערבריסטע				
אונטערבריסטער	אונטערבריסטער	אונטערבריסטער				
אונטערגאדי	אונטערגאדי	אונטערגאדי				
אונטערדאם	אונטערדאם	אונטערדאם				
אונטער-דאם	אונטער-דאם	אונטער-דאם				
אונטער דער קאַמער	אונטער דער קאַמער	אונטער	דער	קאַמער		
אונטער-וויקיב	אונטער-וויקיב	אונטער-וויקיב				
אונטער ווישיווע	אונטער ווישיווע	אונטער	ווישיווע			
אונטערווישעווע	אונטערווישעווע	אונטערווישעווע				
אונטערװישװע	אונטערװישװע	אונטערװישװע				
אונטערװישעװע	אונטערװישעװע	אונטערװישעװע				
אונטערװערעצקי	אונטערװערעצקי	אונטערװערעצקי				
אונטערװערעצקע 	אונטערװערעצקע 	אונטערװערעצקע				
אונטער לאנץ	אונטער לאנץ	אונטער	לאנץ			
אונטער-לאנץ	אונטער-לאנץ	אונטער-לאנץ				
אונטערלאפאש	אונטערלאפאש	אונטערלאפאש				
אונטערלאפּאָש	אונטערלאפּאָש	אונטערלאפּאָש				
אונטערלאָפּיש 	אונטערלאָפּיש 	אונטערלאָפּיש				
אונטערליסקאָ	אונטערליסקאָ	אונטערליסקאָ				
אונטערמישלע	אונטערמישלע	אונטערמישלע				
אונטערמישלע 	אונטערמישלע 	אונטערמישלע				
אונטערסוטש	אונטערסוטש	אונטערסוטש				
אונטערסוטש 	אונטערסוטש 	אונטערסוטש				
אונטערפּאלינאק	אונטערפּאלינאק	אונטערפּאלינאק				
אונטעררוס	אונטעררוס	אונטעררוס				
אונטערריבניץ	אונטערריבניץ	אונטערריבניץ				
אונטערריבניץ 	אונטערריבניץ 	אונטערריבניץ				
אונטעררינא	אונטעררינא	אונטעררינא				
אונטעררינע 	אונטעררינע 	אונטעררינע				
אונטער-רינע	אונטער-רינע	אונטער-רינע				
אונטעררעמעט	אונטעררעמעט	אונטעררעמעט				
אונטעררעפא	אונטעררעפא	אונטעררעפא				
אונטעררעפּא	אונטעררעפּא	אונטעררעפּא				
אונטערשאיא	אונטערשאיא	אונטערשאיא				
אונטערשאַיאָ	אונטערשאַיאָ	אונטערשאַיאָ				
אונטערשאראד	אונטערשאראד	אונטערשאראד				
אונטערשאַראד	אונטערשאַראד	אונטערשאַראד				
אונטראדאם	אונטראדאם	אונטראדאם				
