sent.no	1	s	_	_2	_3	_4	_5	_6	_7	_8	ratio
99	134	אַרומי⸗	_	_	_	_	_	_	_	_	0.48
99	135	גער	_	_	_	_	_	_	_	_	0.48
99	136	געזעלשאַפט	_	_	_	_	_	_	_	_	0.48
99	137	און	_	CCONJ	_	_	_	_	_	_	0.48
99	138	האָבּן	_	X	_	_	_	_	_	_	0.48
99	139	געלעבּט	_	_	_	_	_	_	_	_	0.48
99	140	אָפּגעשלאָסן	_	_	_	_	_	_	_	_	0.48
99	141	פאַר	_	_	_	_	_	_	_	_	0.48
99	142	זיך	_	PRON	_	_	_	_	_	_	0.48
99	143	מיט	_	ADP	_	_	_	_	_	_	0.48
99	144	אידישע	_	_	_	_	_	_	_	_	0.48
99	145	פּרנסות	_	_	_	_	_	_	_	_	0.48
99	146	,	_	PUNCT	_	_	_	_	_	_	0.48
99	147	מייסטנס	_	_	_	_	_	_	_	_	0.48
99	148	קליינהאַנדל	_	_	_	_	_	_	_	_	0.48
99	149	,	_	PUNCT	_	_	_	_	_	_	0.48
99	150	און	_	CCONJ	_	_	_	_	_	_	0.48
99	151	מיט	_	ADP	_	_	_	_	_	_	0.48
99	152	דער	_	DET	_	_	_	_	_	_	0.48
99	153	אַלטפרענקישער	_	_	_	_	_	_	_	_	0.48
99	154	אידישער	_	_	_	_	_	_	_	_	0.48
99	155	דערציהונג	_	_	_	_	_	_	_	_	0.48
99	156	.	_	PUNCT	_	_	_	_	_	_	0.48
156											0.54
156	158	עטוואָס	_	_	_	_	_	_	_	_	0.54
156	159	שפּעטער	_	ADV	_	_	_	_	_	_	0.54
156	160	,	_	PUNCT	_	_	_	_	_	_	0.54
156	161	צו	_	ADP	_	_	_	_	_	_	0.54
156	162	מענדעלסאָנס	_	_	_	_	_	_	_	_	0.54
156	163	צייטן	_	_	_	_	_	_	_	_	0.54
156	164	,	_	PUNCT	_	_	_	_	_	_	0.54
156	165	האָט	_	X	_		_	_	_	_	0.54
156	166	זיך	_	PRON	_	_	_	_	_	_	0.54
156	167	שוין	_	ADV	_	_	_	_	_	_	0.54
156	168	אין	_	ADP	_	_	_	_	_	_	0.54
156	169	דייטשן	_	_	_	_	_	_	_	_	0.54
156	170	אידנטום	_	_	_	_	_	_	_	_	0.54
156	171	בּאַוויזן	_	_	_	_	_	_	_	_	0.54
156	172	אַ	_	DET	_	_	_	_	_	_	0.54
156	173	גרויסע	_	_	_	_	_	_	_	_	0.54
156	174	אויפקלערונגטאַרבּעט	_	_	_	_	_	_	_	_	0.54
156	175	און	_	CCONJ	_	_	_	_	_	_	0.54
156	176	אַ	_	DET	_	_	_	_	_	_	0.54
156	177	קאַמף	_	NOUN	_	_	_	_	_	_	0.54
156	178	פאַר	_	_	_	_	_	_	_	_	0.54
156	179	בּירגערליכער	_	_	_	_	_	_	_	_	0.54
156	180	עמאַנסיפּאַציע	_	_	_	_	_	_	_	_	0.54
156	181	.	_	PUNCT	_	_	_	_	_	_	0.54
181											0.59
181	183	אָבּער	_	_	_	_	_	_	_	_	0.59
181	184	צו	_	ADP	_	_	_	_	_	_	0.59
181	185	יענער	_	ADJ	_	_	_	_	_	_	0.59
181	186	צייט	_	_	_	_	_	_	_	_	0.59
181	187	איז	_	X	_		_	_	_	_	0.59
181	188	שוין	_	ADV	_	_	_	_	_	_	0.59
181	189	אַהרון	_	_	_	_	_	_	_	_	0.59
181	190	איזאַק	_	PROPN	_	_	_	_	_	_	0.59
181	191	געווען	_	X	_	_	_	_	_	_	0.59
181	192	אין	_	ADP	_	_	_	_	_	_	0.59
181	193	שוועדן	_	_	_	_	_	_	_	_	0.59
181	194	(	_	PUNCT	_	_	_	_	_	_	0.59
181	195	פונם	_	_	_	_	_	_	_	_	0.59
181	196	יאָר	_	NOUN	_	_	_	_	_	_	0.59
181	197	1774	_	_	_	_	_	_	_	_	0.59
181	198	אָן	_	ADP	_	_	_	_	_	_	0.59
181	199	)	_	PUNCT	_	_	_	_	_	_	0.59
181	200	,	_	PUNCT	_	_	_	_	_	_	0.59
181	201	וואו	_	_	_	_	_	_	_	_	0.59
181	202	קיין	_	X	_	_	_	_	_	_	0.59
181	203	אידן	_	_	_	_	_	_	_	_	0.59
181	204	זיינען	_	_	_	_	_	_	_	_	0.59
181	205	בּיז	_	_	_	_	_	_	_	_	0.59
181	206	אים	_	PRON	_	_	_	_	_	_	0.59
181	207	בּכלל	_	_	_	_	_	_	_	_	0.59
181	208	ניט	_	PART	_	_	_	_	_	_	0.59
181	209	געווען	_	X	_	_	_	_	_	_	0.59
181	210	,	_	PUNCT	_	_	_	_	_	_	0.59
181	211	און	_	CCONJ	_	_	_	_	_	_	0.59
181	212	קיין	_	X	_	_	_	_	_	_	0.59
181	213	דייטשלאַנד	_	_	_	_	_	_	_	_	0.59
181	214	פלענט	_	_	_	_	_	_	_	_	0.59
181	215	ער	_	PRON	_	_	_	_	_	_	0.59
181	216	קומען	_	VERB	_	_	_	_	_	_	0.59
181	217	בּלויז	_	_	_	_	_	_	_	_	0.59
181	218	אויף	_	ADP	_	_	_	_	_	_	0.59
181	219	לייפּציגער	_	_	_	_	_	_	_	_	0.59
181	220	מעסעס	_	_	_	_	_	_	_	_	0.59
181	221	.	_	PUNCT	_	_	_	_	_	_	0.59
221											0.61
221	223	אפשר	_	_	_	_	_	_	_	_	0.61
221	224	דערפון	_	_	_	_	_	_	_	_	0.61
221	225	נעמט	_	VERB	_	_	_	_	_	_	0.61
221	226	זיך	_	PRON	_	_	_	_	_	_	0.61
221	227	דאָס	_	DET	_	_	_	_	_	_	0.61
221	228	,	_	PUNCT	_	_	_	_	_	_	0.61
221	229	וואָס	_	X	_	_	_	_	_	_	0.61
221	230	פון	_	ADP	_	_	_	_	_	_	0.61
221	231	יענער	_	ADJ	_	_	_	_	_	_	0.61
221	232	שטורמישער	_	ADJ	_	_	_	_	_	_	0.61
221	233	תּקופה	_	_	_	_	_	_	_	_	0.61
221	234	אינם	_	_	_	_	_	_	_	_	0.61
221	235	לעבּן	_	_	_	_	_	_	_	_	0.61
221	236	פונם	_	_	_	_	_	_	_	_	0.61
221	237	דייטשן	_	_	_	_	_	_	_	_	0.61
221	238	אידנטום	_	_	_	_	_	_	_	_	0.61
221	239	דערמאָנט	_	VERB	_	_	_	_	_	_	0.61
221	240	ער	_	PRON	_	_	_	_	_	_	0.61
221	241	קיין	_	X	_	_	_	_	_	_	0.61
221	242	וואָרט	_	NOUN	_	_	_	_	_	_	0.61
221	243	ניט	_	PART	_	_	_	_	_	_	0.61
221	244	,	_	PUNCT	_	_	_	_	_	_	0.61
221	245	כאָטש	_	_	_	_	_	_	_	_	0.61
221	246	געזעלשאַפטליכע	_	_	_	_	_	_	_	_	0.61
221	247	אינטערעסן	_	NOUN	_	_	_	_	_	_	0.61
221	248	זיינען	_	_	_	_	_	_	_	_	0.61
221	249	אים	_	PRON	_	_	_	_	_	_	0.61
221	250	ניט	_	PART	_	_	_	_	_	_	0.61
221	251	פרעמד	_	_	_	_	_	_	_	_	0.61
221	252	געווען	_	X	_	_	_	_	_	_	0.61
221	253	.	_	PUNCT	_	_	_	_	_	_	0.61
253											0.62
253	255	מ'מוז	_	_	_	_	_	_	_	_	0.62
253	256	אָבּער	_	_	_	_	_	_	_	_	0.62
253	257	זאָגן	_	VERB	_	_	_	_	_	_	0.62
253	258	,	_	PUNCT	_	_	_	_	_	_	0.62
253	259	אַז	_	SCONJ	_		_	_	_	_	0.62
253	260	בּכלל	_	_	_	_	_	_	_	_	0.62
253	261	שרייבּט	_	_	_	_	_	_	_	_	0.62
253	262	ער	_	PRON	_	_	_	_	_	_	0.62
253	263	נאָר	_	X	_	_	_	_	_	_	0.62
253	264	פון	_	ADP	_	_	_	_	_	_	0.62
253	265	זיך	_	PRON	_	_	_	_	_	_	0.62
253	266	,	_	PUNCT	_	_	_	_	_	_	0.62
253	267	און	_	CCONJ	_	_	_	_	_	_	0.62
253	268	וועגן	_	X	_	_	_	_	_	_	0.62
253	269	געזעלשאַפטליכע	_	_	_	_	_	_	_	_	0.62
253	270	אינ-	_	_	_	_	_	_	_	_	0.62
253	271	טערעסן	_	_	_	_	_	_	_	_	0.62
253	272	דערמאָנט	_	VERB	_	_	_	_	_	_	0.62
253	273	ער	_	PRON	_	_	_	_	_	_	0.62
253	274	בּלויז	_	_	_	_	_	_	_	_	0.62
253	275	,	_	PUNCT	_	_	_	_	_	_	0.62
253	276	ווי	_	X	_	_	_	_	_	_	0.62
253	277	ווייט	_	_	_	_	_	_	_	_	0.62
253	278	דאָס	_	DET	_	_	_	_	_	_	0.62
253	279	האָט	_	X	_		_	_	_	_	0.62
253	280	אים	_	PRON	_	_	_	_	_	_	0.62
253	281	פּערזענליך	_	_	_	_	_	_	_	_	0.62
253	282	אָנגעקערט	_	_	_	_	_	_	_	_	0.62
253	283	.	_	PUNCT	_	_	_	_	_	_	0.62
283											0.67
283	285	אַהרון	_	_	_	_	_	_	_	_	0.67
283	286	איזאַק	_	PROPN	_	_	_	_	_	_	0.67
283	287	האָט	_	X	_		_	_	_	_	0.67
283	288	בּאַקומען	_	_	_	_	_	_	_	_	0.67
283	289	אַ	_	DET	_	_	_	_	_	_	0.67
283	290	טראַריציאָנעלע	_	_	_	_	_	_	_	_	0.67
283	291	אידישע	_	_	_	_	_	_	_	_	0.67
283	292	דערציהונג	_	_	_	_	_	_	_	_	0.67
283	293	,	_	PUNCT	_	_	_	_	_	_	0.67
283	294	און	_	CCONJ	_	_	_	_	_	_	0.67
283	295	דער	_	DET	_	_	_	_	_	_	0.67
283	296	אידישער	_	_	_	_	_	_	_	_	0.67
283	297	טראַדיציע	_	NOUN	_	_	_	_	_	_	0.67
283	298	איז	_	X	_		_	_	_	_	0.67
283	299	ער	_	PRON	_	_	_	_	_	_	0.67
283	300	טריי	_	_	_	_	_	_	_	_	0.67
283	301	געבּליבּן	_	_	_	_	_	_	_	_	0.67
283	302	אויך	_	ADV	_	_	_	_	_	_	0.67
283	303	אין	_	ADP	_	_	_	_	_	_	0.67
283	304	דער	_	DET	_	_	_	_	_	_	0.67
283	305	צייט	_	_	_	_	_	_	_	_	0.67
283	306	,	_	PUNCT	_	_	_	_	_	_	0.67
283	307	ווען	_	_	_	_	_	_	_	_	0.67
283	308	ער	_	PRON	_	_	_	_	_	_	0.67
283	309	איז	_	X	_		_	_	_	_	0.67
283	310	שוין	_	ADV	_	_	_	_	_	_	0.67
283	311	געווען	_	X	_	_	_	_	_	_	0.67
283	312	„	_	PUNCT	_	_	_	_	_	_	0.67
283	313	הויפליפעראַנט	_	_	_	_	_	_	_	_	0.67
283	314	“	_	PUNCT	_	_	_	_	_	_	0.67
283	315	און	_	CCONJ	_	_	_	_	_	_	0.67
283	316	איז	_	X	_		_	_	_	_	0.67
283	317	געשטאַנען	_	VERB	_	_	_	_	_	_	0.67
283	318	„	_	PUNCT	_	_	_	_	_	_	0.67
283	319	לפני	_	_	_	_	_	_	_	_	0.67
283	320	מלכים	_	NOUN	_	_	_	_	_	_	0.67
283	321	ושרים	_	_	_	_	_	_	_	_	0.67
283	322	“	_	PUNCT	_	_	_	_	_	_	0.67
283	323	.	_	PUNCT	_	_	_	_	_	_	0.67
323											0.68
323	325	קיין	_	X	_	_	_	_	_	_	0.68
323	326	גרויסער	_	_	_	_	_	_	_	_	0.68
323	327	למדן	_	NOUN	_	_	_	_	_	_	0.68
323	328	איז	_	X	_		_	_	_	_	0.68
323	329	ער	_	PRON	_	_	_	_	_	_	0.68
323	330	ניט	_	PART	_	_	_	_	_	_	0.68
323	331	געווען	_	X	_	_	_	_	_	_	0.68
323	332	,	_	PUNCT	_	_	_	_	_	_	0.68
323	333	ער	_	PRON	_	_	_	_	_	_	0.68
323	334	גופאָ	_	_	_	_	_	_	_	_	0.68
323	335	זאָגט	_	VERB	_	_	_	_	_	_	0.68
323	336	אויף	_	ADP	_	_	_	_	_	_	0.68
323	337	זיך	_	PRON	_	_	_	_	_	_	0.68
323	338	:	_	PUNCT	_	_	_	_	_	_	0.68
323	339	„	_	PUNCT	_	_	_	_	_	_	0.68
323	340	לא	_	_	_	_	_	_	_	_	0.68
323	341	איש	_	NOUN	_	_	_	_	_	_	0.68
323	342	דברים	_	_	_	_	_	_	_	_	0.68
323	343	אַנוכי	_	_	_	_	_	_	_	_	0.68
323	344	כלשון	_	_	_	_	_	_	_	_	0.68
323	345	הקודש	_	_	_	_	_	_	_	_	0.68
323	346	“	_	PUNCT	_	_	_	_	_	_	0.68
323	347	,	_	PUNCT	_	_	_	_	_	_	0.68
323	348	אָבּער	_	_	_	_	_	_	_	_	0.68
323	349	פון	_	ADP	_	_	_	_	_	_	0.68
323	350	די	_	DET	_	_	_	_	_	_	0.68
323	351	העבּרעאישע	_	_	_	_	_	_	_	_	0.68
323	352	ווערר-	_	_	_	_	_	_	_	_	0.68
323	353	טער	_	_	_	_	_	_	_	_	0.68
323	354	און	_	CCONJ	_	_	_	_	_	_	0.68
323	355	זאַצן	_	NOUN	_	_	_	_	_	_	0.68
323	356	,	_	PUNCT	_	_	_	_	_	_	0.68
323	357	וואָס	_	X	_	_	_	_	_	_	0.68
323	358	ער	_	PRON	_	_	_	_	_	_	0.68
323	359	פלעכט	_	_	_	_	_	_	_	_	0.68
323	360	אַריין	_	_	_	_	_	_	_	_	0.68
323	361	אין	_	ADP	_	_	_	_	_	_	0.68
323	362	זיין	_	_	_	_	_	_	_	_	0.68
323	363	דערציילונג	_	_	_	_	_	_	_	_	0.68
323	364	,	_	PUNCT	_	_	_	_	_	_	0.68
323	365	איז	_	X	_		_	_	_	_	0.68
323	366	צו	_	ADP	_	_	_	_	_	_	0.68
323	367	זעהן	_	_	_	_	_	_	_	_	0.68
323	368	,	_	PUNCT	_	_	_	_	_	_	0.68
323	369	אַז	_	SCONJ	_		_	_	_	_	0.68
323	370	קיין	_	X	_	_	_	_	_	_	0.68
323	371	עם⸗האַרץ	_	_	_	_	_	_	_	_	0.68
323	372	איז	_	X	_		_	_	_	_	0.68
323	373	ער	_	PRON	_	_	_	_	_	_	0.68
323	374	אויך	_	ADV	_	_	_	_	_	_	0.68
323	375	ניט	_	PART	_	_	_	_	_	_	0.68
323	376	געווען	_	X	_	_	_	_	_	_	0.68
323	377	.	_	PUNCT	_	_	_	_	_	_	0.68
377											0.7
377	379	בּכן	_	_	_	_	_	_	_	_	0.7
377	380	האָבּן	_	X	_	_	_	_	_	_	0.7
377	381	מיר	_	PRON	_	_	_	_	_	_	0.7
377	382	פאַר	_	_	_	_	_	_	_	_	0.7
377	383	זיך	_	PRON	_	_	_	_	_	_	0.7
377	384	אַ	_	DET	_	_	_	_	_	_	0.7
377	385	לעבּן	_	_	_	_	_	_	_	_	0.7
377	386	פון	_	ADP	_	_	_	_	_	_	0.7
377	387	אַ	_	DET	_	_	_	_	_	_	0.7
377	388	דורכשניטליכן	_	_	_	_	_	_	_	_	0.7
377	389	אַידישן	_	_	_	_	_	_	_	_	0.7
377	390	סוחר	_	NOUN	_	_	_	_	_	_	0.7
377	391	,	_	PUNCT	_	_	_	_	_	_	0.7
377	392	אָבּער	_	_	_	_	_	_	_	_	0.7
377	393	פון	_	ADP	_	_	_	_	_	_	0.7
377	394	אַ	_	DET	_	_	_	_	_	_	0.7
377	395	מאַן	_	NOUN	_	_	_	_	_	_	0.7
377	396	מיט	_	ADP	_	_	_	_	_	_	0.7
377	397	כ	_	NOUN	_	_	_	_	_	_	0.7
377	398	אַ	_	DET	_	_	_	_	_	_	0.7
377	399	ר	_	X	_	_	_	_	_	_	0.7
377	400	אַ	_	DET	_	_	_	_	_	_	0.7
377	401	ק	_	_	_	_	_	_	_	_	0.7
377	402	ט	_	_	_	_	_	_	_	_	0.7
377	403	ע	_	ADJ	_	_	_	_	_	_	0.7
377	404	ר	_	X	_	_	_	_	_	_	0.7
377	405	,	_	PUNCT	_	_	_	_	_	_	0.7
405											0.8
405	407	און	_	CCONJ	_	_	_	_	_	_	0.8
405	408	שטאַרקער	_	ADJ	_	_	_	_	_	_	0.8
405	409	ע	_	ADJ	_	_	_	_	_	_	0.8
405	410	נ	_	ADJ	_	_	_	_	_	_	0.8
405	411	ע	_	ADJ	_	_	_	_	_	_	0.8
405	412	ר	_	X	_	_	_	_	_	_	0.8
405	413	ג	_	_	_	_	_	_	_	_	0.8
405	414	י	_	_	_	_	_	_	_	_	0.8
405	415	ע	_	ADJ	_	_	_	_	_	_	0.8
405	416	.	_	PUNCT	_	_	_	_	_	_	0.8
416											0.79
416	418	דער	_	DET	_	_	_	_	_	_	0.79
416	419	סוחר	_	NOUN	_	_	_	_	_	_	0.79
416	420	לאָזט	_	AUX	_	_	_	_	_	_	0.79
416	421	זיך	_	PRON	_	_	_	_	_	_	0.79
416	422	הערן	_	VERB	_	_	_	_	_	_	0.79
416	423	שוין	_	ADV	_	_	_	_	_	_	0.79
416	424	אין	_	ADP	_	_	_	_	_	_	0.79
416	425	דעם	_	DET	_	_	_	_	_	_	0.79
416	426	וויכטינסטן	_	_	_	_	_	_	_	_	0.79
416	427	פּרט	_	NOUN	_	_	_	_	_	_	0.79
416	428	פון	_	ADP	_	_	_	_	_	_	0.79
416	429	זיין	_	_	_	_	_	_	_	_	0.79
416	430	לעבּן	_	_	_	_	_	_	_	_	0.79
416	431	.	_	PUNCT	_	_	_	_	_	_	0.79
431											0.69
431	433	אהרון	_	PROPN	_	_	_	_	_	_	0.69
431	434	איזאַק	_	PROPN	_	_	_	_	_	_	0.69
431	435	האָט	_	X	_		_	_	_	_	0.69
431	436	געווים	_	_	_	_	_	_	_	_	0.69
431	437	פאַרמאָגט	_	_	_	_	_	_	_	_	0.69
431	438	אַ	_	DET	_	_	_	_	_	_	0.69
431	439	קינסטלערישן	_	ADJ	_	_	_	_	_	_	0.69
431	440	חוש	_	NOUN	_	_	_	_	_	_	0.69
431	441	,	_	PUNCT	_	_	_	_	_	_	0.69
431	442	אַפשר	_	_	_	_	_	_	_	_	0.69
431	443	טאַלענט	_	_	_	_	_	_	_	_	0.69
431	444	אויך	_	ADV	_	_	_	_	_	_	0.69
431	445	.	_	PUNCT	_	_	_	_	_	_	0.69
445											0.67
445	447	אין	_	ADP	_	_	_	_	_	_	0.67
445	448	דער	_	DET	_	_	_	_	_	_	0.67
445	449	יונגט	_	_	_	_	_	_	_	_	0.67
445	450	האָט	_	X	_		_	_	_	_	0.67
445	451	ער	_	PRON	_	_	_	_	_	_	0.67
445	452	מיט	_	ADP	_	_	_	_	_	_	0.67
445	453	חשק	_	NOUN	_	_	_	_	_	_	0.67
445	454	געלערנט	_	ADJ	_	_	_	_	_	_	0.67
445	455	מאָלן	_	_	_	_	_	_	_	_	0.67
445	456	,	_	PUNCT	_	_	_	_	_	_	0.67
445	457	ער	_	PRON	_	_	_	_	_	_	0.67
445	458	איז	_	X	_		_	_	_	_	0.67
445	459	געווען	_	X	_	_	_	_	_	_	0.67
445	460	גראַוויאָר	_	_	_	_	_	_	_	_	0.67
445	461	;	_	PUNCT	_	_	_	_	_	_	0.67
445	462	די	_	DET	_	_	_	_	_	_	0.67
445	463	דאָזיגע	_	_	_	_	_	_	_	_	0.67
445	464	פּראָפעסיע	_	_	_	_	_	_	_	_	0.67
445	465	,	_	PUNCT	_	_	_	_	_	_	0.67
445	466	וואָס	_	X	_	_	_	_	_	_	0.67
445	467	אידן	_	_	_	_	_	_	_	_	0.67
445	468	זיינען	_	_	_	_	_	_	_	_	0.67
445	469	דאָרט	_	ADV	_	_	_	_	_	_	0.67
445	470	אנב	_	_	_	_	_	_	_	_	0.67
445	471	געווען	_	X	_	_	_	_	_	_	0.67
445	472	שטאַרק	_	X	_	_	_	_	_	_	0.67
445	473	פאַרטרעטן	_	_	_	_	_	_	_	_	0.67
445	474	און	_	CCONJ	_	_	_	_	_	_	0.67
445	475	בּאַוויזן	_	_	_	_	_	_	_	_	0.67
445	476	גרויס	_	_	_	_	_	_	_	_	0.67
445	477	געשמאַק	_	_	_	_	_	_	_	_	0.67
445	478	(	_	PUNCT	_	_	_	_	_	_	0.67
