א[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
אדון,אָדן,
אדונים,אַדוינים,
אדון־בפקדך,אָדן־בעפֿאָקדעכאָ,
אדון־הגדול,אָדן־האַגאָדל,
אדוני,אַדויני,
אדוני מלך,אַדויני מיילעך,
אדוני פריץ,אַדויני פּאָרעץ,
אדוק,אָדעק,
אדוקים,אַדוקים,
אדם,אָדעם,
אדם־גדול,אָדעם־גאָדל,
אדם הראשון,אָדעם האָרישן,
אדמה,אַדאָמע,
אדר,אָדער,
אדר־ראשון,אָדער־רישן,
אדר־שני,אָדער־שייני,
אדרבא,אַדעראַבע,
אדרבה,אַדעראַבע,
אדרבא־ואדרבא,אַדעראַבע־וועאַדעראַבע,
אהבה,"אַאַווע (לויט ""מאָדערן ייִדיש־ענגליש ענגליש־ייִדיש ווערטערבוך"" פֿון אוריאל ווײַנרײַך און ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אהבה־רבה,"אַאַווע־ראַבע (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אהבת־ישראל,"אַאַוועס־ייִסראָעל (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אהבת־נפש,"אַאַוועס־נעפֿעש (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אהרן הכהן,אַרן האַקויען,
אוהב־ישראל,אויעוו־ייִסראָעל,
אוהבי־ישראל,אויעווע־ייִסראָעל,
אוהב נאמן,אויעוו נעמען,
אוהבים נאמנים,אויאַווים נעמאָנים,
אוהל,אויהעל (אָדער אַמאָל אויעל),
אוהלים,אויהאָלים (אָדער אַמאָל אויאָלים),
אוודאי,אַוואַדע,
אוויר (אָדער אַמאָל אויר),אַווער,
אולי,אולײַ,
אולי ירחם,אולײַ יעראַכעם,
אומה,אומע,
אומות,אומעס,
אומות־העולם,אומעס־האָוילעם,
אומה־ולשון,אומע־וועלאָשן,
אומנות,אומנעס,
אומר־ועושה,אוימער־וועויסע,
אונס,אוינעס,
אופן,אויפֿן,"""... אלץ זאָל זײַן מיטן שיינעם אויפן,..."""
אופנים,אויפֿאַנים,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 8."
אוצר,אויצער,
אוצרות,אויצערעס (אָדער אַמאָל אויצרעס),
אוקיינוס (אָדער אַמאָל אוקינוס),אָקיאָנעס,
אור,אויר (אָדער אַמאָל אָר),
אורות,אוירעס,
אור־הגנוז,אויר־האַגאָנעז,
אורח,אוירעך,
אורחים,אָרכים,
אורחי־פורחי (אָדער אַמאָל ארחי־פרחי),אָרכע־פּאָרכע,
אורים־ותומים,אורים־וועטימעם‏[2],
,"אורים־וועטומים (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אושפיזין,אושפּיזן,
אות,אָס,
אותיות,אויסיעס,
אות־באות,אָס־בעאָס,
אותו,אויסע,
אותו־האיש,אויסע־האָיִש,
אותות־ומופתים,אויסעס־אומאָפֿסים,
אז־ישיר,אָז־יאָשער,
אח,אָך,
אחים,אַכים,
אחי,אָכי,
אחים־לצרה,אַכים־לעצאָרע,
אחינו־בני־ישראל,אַכיינו־בניי־ייִסראָעל,
אחד,עכאָד,
אחדות,אַכדעס,
אחוץ,אַכוץ,
אחור,אָכער,
אחורים,אַכאָראַיִם,
אחיזה,אַכיזע,
אחיזות,אַכיזעס,
אחיזת־עינים,אַכיזעס־איינאַיִם,
אחר,אַכער,"""איך רעכן אליין פאר מײַן לעבן אײַנצוטיילן פאר מײַנע קינדער ווי זאָל זײַן אכער מייע שאָנע שעלי."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
אחר־המעשה,אַכער־האַמײַסע,
אחרון,אַכרען,
אחרונים,אַכרוינים,
אחרון אחרון חביב,אַכרען אַכרען כאָוועוו,
אחרון־של־פסח,אַכרען־שעל־פּייסעך,
אחרי־ככלות־הכל,אַכריי־קיכלויס־האַקל,
אחריות,אַכראַיעס,
אחרית־הימים,אַכרעס־האַיאָמים,
אחשוורוש,אַכאַשוויירעש,
אחשתרנים,אַכאַשטראָנים,
אחת־ואחת,אַכאַס־וועאַכאַס,
אחת־לאחת,אַכאַס־לעאַכאַס,
איבוד,איבעד,
איבוד־ממון,איבעד־מאָמען,
איוב,איִעוו,
אייר,איִער,
איכה,אייכע,
איכות,אייכעס,
אילונית,אײַלעניס,
אימה,איימע,
אימת־מוות,איימעס־מאָוועס,
אימתא־דציבורא,איימעסע־דעציבורע,
אין,איין (אָדער אַמאָל אַיִן),
אין ברירה,איין בריירע,
אין לי,איין לי,
אין־לשער,איין־לעשאַהר,
אין־סוף,איין־סאָף,
אינו־ניראה,איינע־נירע,
איסור,איסער,
איסורים,איסורים,
איסיי,איסיִי,
איסיים,איסיִים,
https://en.wikipedia.org/wiki/Essenes,,
איסרו־חג,איסרע־כאַג,
איפכא מסתברא (אָדער אַמאָל אפכא מסתברא),איפּכע מיסטאַברע,
איש,איש,
אנשים,אַנאָשים,
איש־אמת,איש־עמעס,
אנשי־אמת,אַנשיי־עמעס,
אנשי־השם (אָדער אַמאָל אנשי־שם),אַנשע־האַשעם (אָדער אַמאָל אַנשע־שעם),
איש־חיל,איש־כאַיִל,
אנשי־חיל,אַנשע־כאַיִל,
איש־חשוב,איש־כאָשעוו,
אנשים־חשובים,אַנאָשים־כאַשוּווים (אָדער אַמאָל אַנאָשים־כשוּווים),
איש־ישר,איש־יאָשער,
איש־מהימן,איש־מעהיימען,
איש־מלחמה,איש־מילכאָמע,
אנשי־מלחמה,אַנשע־מילכאָמע,
איש־מעשה,איש־מײַסע,
אנשי־מעשה,אַנשע־מײַסע,
איש־מפי־איש,איש־מעפּי־איש,
אנשים נשים וטף,אַנאָשים נאָשים וועטאַף,
איש־פשוט,איש־פּאָשעט,
אנשי־שלומנו,אַנשע־שלאָמיינו,
אישה (אָדער אַמאָל אשה),אישע,
נשים,נאָשים,
אשת־איש,איישעס־איש,
אשת־חיל,איישעס־כײַעל,
נשים־צדקניות,נאָשים־ציטקאָניִעס,
אכזר,אַכזער,
אכזרים,אַכזאָרים,
אכזריות,אַכזאָריעס,
אכילה,אַכילע,
אכילות,אַכילעס,
אכילה־ושתיה,אַכילע־אושטיִע,
אכלן,אַכלען,
אכלנים,אַכלאָנים,
אכסניא,אַכסאַניע,
אכסניות,אַכסאַניעס,
אל־ארך־אפים,אייל־ערעך־אַפּאַיִם,
אל־חנון,אייל־כאַנון,
אל־מלא־רחמים,אייל־מאָלע־ראַכמים,
אל־רחום,אייל־ראַכום,
אל־רחום־וחנון,אייל־ראַכום־וועכאַנון,
אלא,עלע,
אלא מאי,עלע מײַ,
אלול,עלעל,
אליהו־הנביא,עליאָהו־האַנאָווי,
,(אָדער אַמאָל),
,עליענאָווע,
אלכסון,אַלאַכסן,
אלמאי,אַלעמײַ,
אלמן,אַלמען,
אלמנה,אַלמאָנע,
אלמנות,אַלמאָנעס,
אלף,אַלעף,
אלף,עלעף,"""... אונטער דעם זעקסטן ציגל אין אויוון, רעכטס, אויך ערעך עלעף רוק."""
אלפים,אַלאָפֿים,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
אלפי־אלפים,אַלפֿיי־אַלאָפֿים,
אלף־בית,אַלעף־בייס,
אלף־השישי,עלעף־האַשישי,
אם,איים,
אמהות,אימאָהעס,
אם ירצה השם,אים ייִרצע האַשעם,
(אי״ה),(אָדער אַמאָל),
,מירטסעשעם (אָדער אַמאָל מירטשעם‏[3]),
אם־כן,אים־קיין,
אמונה,עמונע,
אמונות,עמונעס,
אמורא,אַמוירע,
אמוראים,אַמויראָים,
אמן,אָמיין,
אמן־סלה,אָמיין־סעילאָ,
אמת,עמעס,"""עמעס, ניט זי זעט ווי געהעריק, און ניט זי הערט ווי געהעריק, און ניט זי גייט ווי געהעריק, אָבער אבי זי לעבט."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 8."
אמת־ויציב,עמעס־וועיאַצעוו,
אנוכי,אָנויכי,
אנוס,אָנעס,
אנוסים,"אַנוסים (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אני־הקטן,אַני־האַקאָטן,
אני־מאמין,אַני־מײַמען (ליטוויש),
אני שלמה,אַני שלוימע,
אסור,אָסער,
אסור־חזיר,אָסער־כאַזער,
אסור־לדבר,אָסער־לעדאַבער,
אסור־לרחם,אָסער־לעראַכעם,
אסותא,"אַסוסע (אָדער אַמאָל אַסע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אסיפה,אַסיפֿע,
אסיר,אַסיר,
אסירים,אַסירים,
אסכרה,אַסקערע,
אסמכתא,אַסמאַכטע,
אסמכתות,אַסמאַכטעס,
אסר ‏[4],אַסער,
אסתר,עסטער,
אסתר־המלכה,עסטער־האַמאַלקע,
"אסתר־תענית (אין לשה""ק איז עס תענית אסתר)",עסטער־טאָנעס,
אפוטרופס (אָדער אַמאָל אפיטרופוס),אַפּעטראָפּעס,
אפוטרופסים (אָדער אַמאָל אפיטרופוסים),אַפּעטראָפּסים,
אפוטרופסות,אַפּעטראָפּסעס,
אפילו,אַפֿילע,"""און זי ווייס אפילע ניט, אז ס׳איז דערווײַל בא אונדז עפּעס אנדערש געוואָרן די וועלט."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 8."
אפיקומן,אַפֿיקוימען,
אפיקורס,אַפּיקוירעס,
אפיקורסים,אַפּיקאָרסים,
אפיקורסות,אַפּיקאָרסעס,
אפרוח,עפֿרויעך,
אפרוחים,עפֿרויכים,
אפשיטא,אַפּשיטע,
אפשר,עפֿשער,
אץ־קוצץ־לשון,אָץ־קויצעץ־לאָשן,
אצבע־אלקים,עצבע־עלאָקים,
אצילות,אַצילעס,
אקדמות,אַקדאָמעס,
ארבע,אַרבע,
ארבע־כוסות,אַרבע קויסעס,
ארבע־כנפות,אַרבע־קאַנפֿעס,
ארבע־כנפות־הארץ,"אַרבע־קאַנפֿעס־האָאָרעץ (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
ארון,אָרן,
ארונות,אַרוינעס,
ארון־קודש,אָרן־קוידעש,
ארורה,אַרורע,
ארורות,אַרורעס,
ארחי־פרחי,אָרכע־פּאָרכע,
ארי־שבחבורה,אַרי־שעבאַכאַוווּרע,
אריכות־ימים,אַריכעס־יאָמים,
ארמיש,אַראַמיש,
ארץ־ישראל,"ערץ־איסראָעל (אָדער אַמאָל ערציסראָעל אָדער ערציסראָל לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
ארצה,אָרצע,
אשכנז,אַשקענאַז,
אשכנזי,אַשקענאַזי,
אשכנזים,"אַשקענאַזים, אַשקענייזים",
אש־להבה,אייש־לעהאָווע,
אשמדאי,אַשמעדײַ,
אשמורה,אַשמוירע,
אשמורות,אַשמוירעס,
אשמנו,אָשאַמנו,
אשפה,אַשפּע,
אשר,אַשער,
אשר־יצר,אַשער־יאָצער,
אשרי,אַשרע,
אתה־בחרתנו,אַטאָ־באָכאַרטאָנו‏[2],
,"אָדער אַמאָל אַטאָ־בעכאַרטאָנו (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
אתה־הראית,אַטאָ־האָרייסאָ,
אתחלתא־דגאולה,אַסכאַלטע־דעגעולע,
אתרוג,עסרעג,
אתרוגים,עסרויגים,
,,
ב[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
לשון־קודש,אויסרייד,בײַשפּילן אין ייִדישער ליטעראַטור
ב (אויך די צאָל 2),ב,
באהבה,בעאַהאַווע (אָדער אַמאָל בעאַווע),
באו מים עד נפש,באָו מאַיִם אַד נעפֿעש,
באונס,בעוינעס,
באופן,בעויפֿן,
באותו־הרגע (אָדער אַמאָל באותו־רגע),בעויסע־האָרעגע (אָדער אַמאָל בעויסע־רעגע),
באין־אופן,בעיין־אויפֿן,
באין־ברירה,בעיין־בריירע,
באיסור,בעיִסער,
באם,בעיִם,
באם־לאוו,בעיִם־לאַוו,
באמונה,בעעמונע,
באמונה־שלמה,בעעמונע־שליימע,
באמת,בעעמעס,
באריכות,באריכעס,
באשר,באַנשער (אָדער אַמאָל באַשער),
באשר־בכן,באַנשער־בעכיין (אָדער אַמאָל באַשער־בעכיין),
בבא,באָווע,
בבא־מעשה,באָווע־מײַסע,
בבא־מעשיות,באָווע־מײַסיעס,
בבחינת,ביפֿכינעס,
בבל,באָוול,
בבלי,באַוולי,
בבלים,באַוולים,
בגד,בעגעד,
בגדים,בגאָדים,
בגזלה,ביגזיילע,
בגידה,בגידע,
בגילה,בעגילע,
בגילה־ברינה,בעגילע־בערינע,
בגילוי,בעגילע,
בגילוי־ראש,בעגילע־ראָש,
בגילופין,בעגילופֿן,
בגימטריא,בעגימאַטריע,
בגנבה,ביגנייווע,
בדוחק,בעדויכעק,
בדוק־ומנוסה,באָדעק־אומענוסע,
בדחן,באַטכן,
בדחנים,באַטכאָנים,
בדחנות,באַטכאָנעס,
בדיוק,בעדיִעק,
בדיל־הדל,בעדילאַדאַל,
בדיעבד,בעדיִעוועד,
בדיקה,בדיקע,
בדיקות,בדיקעס,
בדיקת־חמץ,בדיקעס־כאָמעץ,
בדלות,בעדאַלעס,
בדעה,בעדעיע,
בדעה־אחת,בעדעיע־אַכעס,
בדק ‏[5],באַטק,
בדרך־,בעדערעך־,
בדרך־אגב,בעדערעך־אַגעוו,
בדרך־גוזמא,בעדערעך־גוזמע,
בדרך־כלל,בעדערעך־קלאַל,
בדרך־משל,בעדערעך־מאָשל,
בדרך־נס,בעדערעך־נעס,
בהדרגה,בעהאַדראָגע,
בהיסה־הדעת,בעהעסעך־האַדאַאַס,
בהיתר,בעהעטער,
בהכנעה,בעהאַכנאָע,
בהכרח,בעהעכרעך,
בהלה,בעהאָלע,
בהלות,בעהאָלעס,
בהלוואה,בעהאַלוואָע,
בהמה,בעהיימע,
בהמות,בעהיימעס,
בהן־שלי,בעהען־שעלי,
בהסכם,בעהעסקעם,
בהסכם־כולם,בעהעסקעם־קולעם,
בהקפה,בעהאַקאָפֿע,
בהרחבה,בעהאַרכאָווע,
בוגד,בויגעד,
בוגדים,באָגדים,
בוגרת,באָגרעס,
בודק,בוידעק,
בודק־חמץ,בוידעק־כאָמעץ,
בוודאי,בעוואַדע,
בולט,בוילעט,
בועה,בוע,
בועות,בועס,
בועל,בויעל,
בור,בור,
בורים,בורים,
בור־דאורייתא,בור־דעאָרײַסע (אָדער אַמאָל בור־דערײַסע),
בורא,בוירע,
בורא מאורי האש,בוירע מעוירע האָייש,
בורא מיני מזונות,בוירע מינע מעזוינעס,
בורא נפשות,בוירע נעפֿאָשעס,
בורא־עולם,בוירע־אוילעם,
בורא פרי האדמה,בוירע פּרי האָאַדאָמע,
בורא פרי הגפן,בוירע פּרי האַגאָפֿען,
בורא פרי העץ,בוירע פּרי האָייץ,
בורח,באָרייעך,
בורחים,באָרכים,
בורר,בוירער,
בוררים,באָרערים,
בוררות,באָרערעס,
בושה,בושע,
בושת־פנים,בוישעס־פּאָנעם,
בזה־הלשון,בעזע־האַלאָשן,
בזול,בעזאָל,
בזי־בזיון,ביזע־ביזויען,
בזיון,ביזויען,
בזיונות,ביזיוינעס,
בזיל,בעזיל,
בזיל־הזול,בעזיל־האַזאָל,
בזכות,ביסכוס,
בזכות־זה,ביסכוס־זע,
בחברותא,בעכאַוורוסע,
בחדרי־חדרים,בעכעדרע־כאַדאָרים,
בחור,באָכער,
בחורים,באָכערים (אָדער אַמאָל באָכורים),
בחוש,בעכוש,
בחזקה,בעכאַזאָקע,
בחזקת,בעכעסקעס,
בחזרה,בעכאַזאָרע,
בחינה,פּכינע,
בחינות,פּכינעס,
בחינם,בעכינעם,
בחיר,פּכיר,
בחירים,פּכירים,
בחירה,פּכירע,
בחפזון,בעכיפּאָזן,
בחצי־חינם,בעכאָצעכינעם,
?,בעכאָצער,"""מײַנע קינדער בלײַבן וווינען בעכאָצער שעלי."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
בחרם,בעכיירעם,
בחרפתו,בעכאַרפּאָסע,
בחשיבות,ביכשיוועס,
בטבע,בעטעווע,
בטוח,בעטועך,
בטוחים,בעטוכים,
בטוחות,בעטוכעס,
בטחון,ביטאָכן,
בטל,באָטל,
בטל־בשישים,באָטל־בעשישים,
בטל־ומבוטל,באָטל־אומוווּטל,
בטלן,באַטלען,
בטלנים,באַטלאָנים,
בטלנות,באַטלאָנעס,
ביאה,ביִע,
ביאור,ביִער,
ביאורים,ביִורים,
ביגדי־ (אָדער אַמאָל בגדי־),ביגדע־,
ביגדי־מלכות (אָדער אַמאָל בגדי־מלכות),ביגדע־מאַלכעס,
ביגדי־שבת (אָדער אַמאָל בגדי־שבת),ביגדע־שאַבעס,
ביד־רחבה,בעיאַד־רעכאָווע,
ביד־רמה,בעיאַד־ראָמע,
בידים,בעיאָדאַיִם,
ביודעים,בעיוידים,
ביוש,ביִעש,
ביחידות,ביכידעס,
ביטול (אָדער אַמאָל בטול),ביטל,
ביטול־היש,ביטל־האַיעש,
ביישן (אָדער אַמאָל בישן),בײַשן,
ביישנים (אָדער אַמאָל בישנים),בײַשאָנים,
ביכורים,ביקורים,
ביכולת,ביכוילעס,
בילבול,בילבל,
בילבולים,בילבולים,
בילעם,בילעם,
בילתי,בילטי,
בימה,בימע (בעלעמער),
בימות,בימעס,
בימי,בימיי,
בימקום (אָדער אַמאָל במקום),בימקעם,
בין־הזמנים,ביינאַזמאַנים,
בין־השמשות,ביינאַשמאָשעס,
בין מינחה למעריב,ביין מינכע לעמײַרעוו,
בינו־לבינו,ביינע־לעביינע,
ביעור־חמץ,ביִער־כאָמעץ,
ביצה,בייצע,
"ביצים (אָדער אַמאָל ""בצים"")",בייצים,
ביקור־חולים (אָדער אַמאָל בקור־חולים),ביקער־כוילים,
בירושה,בעיערושע,
בית,בייס (אָדער אַמאָל בייט אָדער בייז),"""זומער, בייס די באָבע באשע גייט שוין ארויס אין הויף, זיצט זי אפן שוועל און קוועלט אָן, ווײַל זי זעט, ווי פון יעדער טיר שיטן זיך און שיטן זיך די רעבזעלמעלעך, ווי שווארצער מאָן."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 9."
בית־דין,בעזדן (אָדער אַמאָל בעזן),
בית־דין־צדק,בעזדן־צעדעק (אָדער אַמאָל בעזן),
בית־דין־של־מעלה,בעזדן־שעל־מײַלע (אָדער אַמאָל בעזן),
בית־החיים,בייסאַכאַיִם (אָדער אַמאָל בייסכאַיִם),
בית־הכבוד,בייסאַקאָוועד,
בית־הכיסא (אָדער אַמאָל בית־הכסא),בייסאַקיסע,
בית־הכנסת,בייסאַקנעסעס,
בתי־כנסיות,באָטע־קנעסיעס,
בית־המדרש (אָדער אַמאָל בית־מדרש),בעסאַמעדרעש (אָדער אַמאָל בעסמעדרעש),"""... און די שטאָט אין בעסמעדרעש זאָל מען אויך פארקויפן,..."""
בתי־מדרשים,באָטע־מעדראָשים‏[2],"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
,"(אָדער אַמאָל באָטע־מידראָשים לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
בית־המיקדש,בייסאַמיגדעש,
בית־הקברות,בייסאַקוואָרעס,
בית־עולם,בעסוילעם,
בית־עלמין,בעסאַלמען,
בכאן,בעקאַן,
בכבוד,בעקאָוועד,
בכבוד־גדול,בעקאָוועד־גאָדל,
בכבודו־ובעצמו,ביכוווידע־אובעאַצמע‏[2],
,"(אָדער אַמאָל ביכוווידע־אוּוועאַצמע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
בכדי,ביכדיי,
בכוונה,בעקאַוואָנע,
בכוח,בעקויעך,
בכור,פּכאָר,
בכורים,פּכוירים,
בכורה,פּכוירע,
בכי־טוב,בעכי־טויוו,
בכיוון,בעקיוון,
בכל־אופן,בעכאָל־אויפֿן,
בכל־מכל־כל,באַקל־מיקל־קאָל,
בכל־תפוצות־ישראל,בעכאָל־טפֿוצעס־ייִסראָעל,
בכלל,ביכלאַל (אָדער אַמאָל ביקלאַל),
בכן,בעכען (אָדער אַמאָל בעכיין),
בכתב,ביקסאַוו,
בלא,בעלוי,
בלא־יודעים,בעלוי־יוידים,
בלב־ונפש,בעלעוו־וואָנעפֿעש,
בלחש,בעלאַכעש,
בלי־,בעלי־ (אָדער אַמאָל בלי־),
בלי־גוזמא,בעלי־גוזמע (אָדער אַמאָל בלי־גוזמע),
בלי־חרטה,בעלי־כאַראָטע (אָדער אַמאָל בלי־כאַראָטע),
בלי־מסקנא,בעלי־מאַסקאָנע (אָדער אַמאָל בלי־מאַסקאָנע),
בלי־נדר,בעלי־ניידער (אָדער אַמאָל בלי־ניידער),
בלי־ספק,בעלי־סאָפֿעק (אָדער אַמאָל בלי־סאָפֿעק),
בלי־שום־ספק,בעלי־שום־סאָפֿעק (אָדער אַמאָל בלי־שום־סאָפֿעק),
בלי־תקופה,בעלי־טקופֿע (אָדער אַמאָל בלי־טקופֿע),
בלית־ברירה,בלעס־בריירע (אָדער אַמאָל בעלעס־),
בלע״ז,בלאַז (אָדער בעלאַז),
בלק,באָלעק,
בלשון־נקיה,בעלאָשן־נעקיִע,
בלשון־סגי־נהור,בעלאָשן־סעגי־נאָער,
במדבר,באַמידבאָר‏[2],
,"אָדער אַמאָל באַמידבער (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
במהרה־בימינו,בימהיירע־ביימיינו,
במזומן,בימזומען,
במזומנים,בימזומאָנים,
במזיד,בעמייזעד,
במחילה,בימכילע,
במחילה־גמורה,בימכילע־גמורע,
במחשבה,בעמאַכשאָווע,
במילא,בעמיילע,
במציאות,בימציִעס,
במשך,בעמעשעך,
במתנה,בעמאַטאָנע,"""מײַנ צווייטנ ייִדישנ ראָמאנ „יאָסעלע סאָלאָוויי” ברענג איכ דיר בעמאטאָנע הײַנט, צו דעמ טאָג פונ דײַנ געבוירנ ווערנ."" (אין דעם דאָזיגן בוך האָט מען נישט מיט די אותיות ך, ם, ן, ף אָדער ץ געשריבן.)"
,,"פֿון דעם בוך ""יאָסעלע סאָלאָוויי"" פֿון שלום עליכם (אַבער אויף דעם עצמן בוך געשריבן ""שאָלעמ אלייכעמ""), דף 3."
בן,בען,
בנים,באָנים,
בן־אדם,בען־אָדעם,
בני־אדם,בניי־אָדעם,
בן־בית,בען־באַיעס,
בני־בית,בניי־באַיעס,
בן־בקועה,בעם־בעקו,
בן־דור,בען־דאָר,
בני־דור,בניי־דאָר,
בן־זוג,בען־זוג,
בני־זוג,בניי־זוג,
בן־זכר,בען־זאָכער,
בנים־זכרים,באָנים־סכאָרים,
בן־זקונים,בען־זקונים,
בני־זקונים,בניי־זקונים,
בן־טובים,בען־טויווים,
בני־טובים,בניי־טויווים,
בן־יחיד,בען־יאָכעד,
בני־יחידים,בניי־יעכידים,
בן־יקיר,בען־יאַקער,
בן־ישראל,בען־ייִסראָעל,
בני־ישראל,בניי־ייִסראָעל,
בן־מלך,בען־מיילעך,
בני־מלכים,בניי־מעלאָכים,
בני־משה,בניי־מוישע,
בן־נח,בען־נויעך,
בני־נח,בניי־נויעך,
בן־סורר־ומורה,בען־סוירער־אומוירע,
בן־עיר,בען־איר,
בני־עיר,בניי־איר,
בן־פקועה,בען־פּעקוע,
בני־רחמנים,בניי ראַכמאָנים,
בן־שיבעים,בען־שיווים,
בני־שיבעים,בניי־שיווים,
בן־שישים,בען־שישים,
בני־שישים,בניי־שישים,
בן־שמונים,בען־שמוינים,
בני־שמונים,בניי־שמוינים,
בן־תורה,בען־טוירע,
בני־תורה,בניי־טוירע,
בנאמנות,בענעמאָנעס,
בנוגע,בענעגייע,
בניחותא,בעניכעסע,
בנימוס,בענימעס,
בנימצא (אָדער אַמאָל בנמצא),בענימצע,
בנין,ביניען,
בנינים,ביניאָנים,
בנעימות,בענעיִמעס,
בנשימה־אחת,בינשימע־אַכעס,
בנשיקה,בינשיקע,
בסבר־פנים־יפות,בעסייווער־פּאָנעם־יאָפֿעס,
בסוד,בעסאָד,
בסוד־סודות,בעסאָד־סוידעס,
בסך־הכל,בעסאַכאַקל (אָדער אַמאָל בעסכאַקל),
(בס״ה),,
בסתר,בעסייסער,
בעוונותינו־הרבים,באַוווינעסיינו־האָראַבים,
בעזרת־השם,בעעזרעס־האַשעם,
(בע״ה),,
בעיקר,בעיִקער,
בעירום־ובחוסר־כל,בעיירעם־אופֿכויסער־קאָל,
בעל,באַל,
בעלי,באַלע,
בעל־אחריות,באַל־אַכראַיעס,
בעלי־אחריות,באַלע־אַכראַיעס,
בעל־אכסניא,באַל־אַכסאַניע,
בעלי־אכסניות,באַלע־אַכסאַניעס,
בעל־בטוח,באַלבעטועך,
בעלי־בטוחים,באַלעפּטוכים,
בעל־בטחון,באַל־ביטאָכן,
