Base,Romanized,Yiddish,Gloss,Definition
,,"אַדו^רכ.. זען ווערטער מיט דורכ..
",,אַדיוטאַ^נט [дью] מ ־ן	адъютант
,,אַדיע^ [дье] אינט.,,до свидания
,,אַדיעקטי^וו [дье] מ ־ן,,имя
,,אַדיר מ ־ים,,(большой) богач
,,אַדל מ,,дворянство (сословие)
,,אָ^דליגע וו ־ס,,оттепель
,,אַ^דלמאַן מ (מצ. אַ^דללייט),,дворянин
,,אָדלער מ ־ס,,орёл
,,אַ^דלפרוי וו ־ען,,дворянка
,,אָדם [אָדעם] אג''נ מ,,Адам
,,אַדמה [אדאָמע] וו,,шутл. земля
,,ליג׀ן אין דער אַדמה,,разг. находиться
,,גיי׀ן* אין דער אַדמה,,разг. идти к чёрту
,,האָב׀ן* אין דער אַדמה,,разг. плевать
,,"אָדם הראשון [אָדעם האָרישן] אג''נ מ
",,"библ. первый человек, Адам"
,,"אַדמיניסטראַטי^וו א, אדוו.
",,.	административный;
,,אַדמיניסטראַציע וו ־ס,,администрация
,,"אַדמיניסטריר׀ן (אַדמיניסטרי^רט)
",,администрировать
,,אַדמיראַ^ל מ ־ן,,адмирал
,,אָדע וו ־ס,,ода
,,אַ^דעליק א,,знатный (относящийся
,,לעב׀ן ווי גאָט אין אָדעס,,жить припеваючи
,,אָדעקאָלאָ^ן מ ־ען,,одеколон
,,אַדעקוואַ^ט א,,адекватный
,,"אָדער ¹ וו, מ ־ן",,1. жила (кровеносный
,,גי^לדענ׀ע(ר) אָדער,,геморрой
,,טרענ׀ען דאט. די אָדערן,,не оставлять
,,שלאָג׀ן/לאָז׀ן דאט. צו דער אָדער,,пускать
,,אָדער ² בינדוו.,,или
,,אָדער... אָדער,,"или... или...,"
,,אָדער־אָדער!,,или-или
,,אָ^דערדיק א,,жилистый
,,"אַ^דערויף מ ־ן זען אַדרויף
",,אָ^דערייִד מ ־ן	уст. шутл. еврей
,,אָ^דערל ז ־עך,,жилка
,,אַדרבא [א^ד(ע)ראבע],,1. вводн. сл.
,,"איך בין ניט קעגן אים. אַדרבא, ער געפע^לט
",,מיר	Ï не против него.
,,"אַדרבא, זאָל ער זאָגן",,"ну-ка, пусть он"
,,"אַדרבא, פּרוּוו האָבן די העזה [האָזע]!
",,только посмей!
,,"אַדרבא־ואַדרבא
",,"[א^ד(ע)ראבע־וועא^ד(ע)ראבע] конечно!,"
,,"אַדרבה אינט. זען אַדרבא
",,אַדרוי^ף מ ־ן	задаток
,,"אַדרע^ס, אַדרעס מ ..ע^סן",,адрес
,,אַדרעסאַ^ט מ ־ן (וו ־ין),,"получатель,"
,,אַדרעסאַ^נט מ ־ן (וו ־ין),,"отправитель,"
,,אַדרעסיר׀ן (אַדרעסי^רט),,адресовать
,,אַדרע^סן־בוך ז ..ביכער,,адресная книга
,,אָדר־שני [אָדער־שיי^ני] מ,,второй адар
,,אַהאַ^ אינט.,,ага!
,,אָהאָ^ אינט.,,ого!
,,אַהבה [א^אווע] וו,,любовь (к ±огу)
,,אַהבה־רבה [אאווע־רא^בע] וו,,глубокая
,,אַהבת־נפש [אאוועס־נע^פעש] וו,,душевная
,,"אַהולאָם אדוו. זען אַהולנע 2.
",,אַהולניק מ ־עס	оптовик
,,אַהולנע 1. א,,1. взятый в целом
,,אַהולנע 2. אדוו.,,1. оптом
,,אַהיי^ם אדוו.,,домой
,,"אַהי^ן אדוו., קאָנוו.",,туда
,,אַהין און אַהע^ר/צורי^ק,,"туда и обратно,"
,,ניט אַהין ניט אַהע^ר,,ни туда ни сюда;
,,אַהין אָדער אַהע^ר!,,туда или сюда!
,,אַהין צו וועגס,,по дороге туда; на прямом
,,אַהין צו (צו),,туда (в ясном
,,אַהי^נ׀טאָ׀ן* (אַהי^נגעטאָן),,девать
,,אַהינטאָן זיך,,деваться
,,אַהינטער אדוו.,,"назад; сзади, позади"
,,"פאַררוקן דאָס היטל אויף אַהינטער
",,сдвинуть шапку на затылок
,,"אַהי^ן צו (צו) אדוו. זען אין אַהין
",,אַהי^נ׀קומ׀ען (איז אַהי^נגעקומען)
,,"אהל מ ־ים זען אוהל
",,"אַהע^ר אדוו., קאָנוו.	сюда"
,,ביז אַהער,,"до сих пор, до этого места"
,,אַהער צו וועגס,,по дороге сюда;
,,אַהער צו (צו),,(к нам) сюда
,,אַהע^ר׀געב׀ן* (אַהע^רגעגעבן),,(по)давать
,,"אַהע^ר צו (צו) אדוו. זען אין אַהער
",,אַהע^ר׀קומ׀ען (איז אַהע^רגעקומען)
,,ווי (אַרו^ם) קומט איר אַהערЯ,,как вы здесь
,,"אַהרן הכּהן [ארן האקויען] אג''נ מ
",,библ. священник Аарон (брат ¼оисея)
,,"או^געראָק, או^געריק מ ..רקעס זען אוגערקע
",,או^גערקע וו ־ס	огурец
,,זוי^ער׀ע אוגערקע,,солёный/
,,אוהב־ישׂראל [אויעוו־ייִסראָ^על] מ (מצ. אוהבי־ [אוי^עווע־]),,"тот, кто любит (других)"
,,"אוהב נאמן [אויעוו נעמען] מ
",,(מצ. אוהבים נאמנים [אוי^אווים נעמאָנים])
,,אוהל [אוי(ה)על] מ ־ים [אוי(ה)אָלים],,евр.
,,אָוואַ^ אינט.,,(выражает изумление)
,,"אַוואו זען וווּ
",,אָוואַ^ל 1. א	овальный
,,אָוואַ^ל 2. מ ־ן,,овал
,,"אָוואַלנע א זען אָוואַ^ל 1.
",,אַוואַנגאַ^רד מ ־ן	авангард
,,אַוואַנטורי^סט מ ־ן (וו ־קע),,авантюрист;
,,אַוואַ^נס מ ־ן,,аванс
,,אַוואַנפּאָ^סט מ ־ן,,аванпост
,,אָוואַציע וו ־ס,,овация
,,אַוואָקאַדאָ מ ־ס,,авокадо
,,"אַווגוסט מ זען אויגוסט
",,"אַוודאי [אוואדע] אדוו.	конечно, разумеется;"
,,אַוודאי און אַוודאי,,1) без всякого
,,"אַוווּ^ זען וווּ
",,אוּוואַ^ אינט. זען אָוואַ
,,אוּ^וווּלע וו ־ס,,язычок анат.
,,"אוּוויר׀ן (אוּווי^רט) זען אָווירן
",,אוּווערטו^ר וו ־ן	увертюра
,,"אַווטאָ.. זען ווערטער מיט אויטאָ..
",,אַוויאַטאָר מ ..אָ^רן (וו ..אָ^רשע)	авиатор
,,אַוויאַציע וו ־ס,,авиация
,,אַווי^ז מ ־ן,,авизо
,,אַוויזיר׀ן (אַוויזי^רט),,уведомлять
,,אַוויר [אווער] מ,,1. поэт. воздух
,,"אַוויר׀ן [א^ווערן] (געאַווירט [געאווערט])
",,(מיט)	вонять чем-л.
,,אָוויר׀ן (אָווי^רט),,ухаживать
,,אָוונט מ ־ן,,вечер
,,אין אָוונט,,вечером
,,אַ גוטן אָוונט,,добрый вечер!
,,אָ^וונטבלאַט ז ..בלעטער,,вечерняя
,,אָ^וונטברויט ז ־ן,,ужин
,,עסן אָוונטברויט,,тж. ужинать
,,אָ^וונטיק א,,вечерний
,,אָ^וונטל ז ־עך,,маковая коврижка
,,אָ^וונטקלייד ז ־ער,,вечернее платье
,,אָ^וונטשול וו ־ן,,вечерняя школа
,,אָ^וונט־שטערן מ,,вечерняя звезда
,,"אַווסטראַליע אג''נ וו זען אויסטראַליע
",,"אַוועלכ׀ער א, פּראָנ. זען וועלכער"
,,אַווע^ק 1. א פּרעד.,,(не в наст. вр.)
,,"אוועקגיין =
",,איך בין אַוועק	я ушёл
,,איך וועל אַוועק,,я уйду
,,אַווע^ק 2. אדוו.,,прочь; далеко
,,אַווע^ק 3. אינט.,,"прочь!, вон!, пошёл (вон)!"
,,אַווע^ק 4. קאָנוו.,,придаёт глаголу
,,אַווע^ק׀לויפ׀ן,,убежать
,,אַווע^ק׀שטויס׀ן,,оттолкнуть
,,אַווע^ק׀שנייד׀ן,,отрезать
,,אַווע^ק׀רעד׀ן,,проговорить
,,אַווע^ק׀הענג׀ען,,повесить (надолго)
,,אַווע^ק׀זינג׀ען,,"спеть (как следует,"
,,"אַווע^ק׀אַרבעט׀ן (אַווע^קגעאַרבעט)
",,(про)работать (какое-л. длительное
,,"אַווע^ק׀באָרג׀ן (אַווע^קגעבאָרגט)
",,одалживать (надолго)
,,אַוועקגאַנג מ,,уход; отход
,,"אַווע^ק׀גיי׀ן* (איז אַווע^קגעגאַנגען)
",,1. уходить; отходить
,,אַוועק(גיין) מיטן רויך,,пойти прахом;
,,"עס איז אַוועק(געגאַנגען) אַ שמועס
",,завязалась беседа
,,אַז די אַרבעט וועט גוט אַוועק(גיין),,если
,,l אַוועק(גיין) פון,,уходить с...
,,אַוועקגיין פון דער אַרבעט,,"уйти с работы,"
,,l אַוועק(גיין) (אויף),,"уходить, идти,"
,,"אַוועק׀גנבע׀נען [אווע^קגאנווענען]
",,(אַוועקגעגנבעט [אווע^קגעגאנוועט]) (ביי)
,,אַוועקגנבענען זיך,,"ускользать, улизнуть"
,,אַווע^ק׀געב׀ן* (אַווע^קגעגעבן),,отдавать;
,,"אַווע^ק׀דינ׀ען (אַווע^קגעדינט) (דאט.)
",,"прослужить, отдать службе"
,,אַווע^ק׀דריי׀ען (אַווע^קגעדרייט),,повернуть
,,אַווע^ק׀האַלט׀ן (אַווע^קגעהאַלטן),,держать
,,"אַוועק׀הרגע׀נען [אווע^קהארגענען]
",,(אַוועקגעהרגעט [אווע^קגעהארגעט])
,,אַווע^ק׀וואַרפ׀ן (אַווע^קגעוואָרפן),,1. бросать
,,"אַוועקוואַרפן דאָס ווייב, די קינדער",,бросить
,,אַוועקוואַרפן די לער,,забросить учёбу
,,אַווע^ק׀וואַש׀ן (אַווע^קגעוואַשן),,смывать;
,,"אַווע^ק׀זיצ׀ן (איז אַווע^קגעזעסן)
",,"просиживать, отсиживать (долго)"
,,אַווע^ק׀זעצ׀ן (אַווע^קגעזעצט),,"сажать,"
,,אַוועקזעצן זיך,,"садиться, усаживаться"
,,אַווע^ק׀טאָ׀ן* (אַווע^קגעטאָן),,1. отставлять
,,אַווע^ק׀טראָג׀ן (אַווע^קגעטראָגן),,уносить;
,,אַוועקטראָגן זיך,,"удаляться, убираться"
,,אַווע^ק׀כאַפּ׀ן (אַווע^קגעכאַפּט),,1. вырывать
,,"אַווע^ק׀לאָז׀ן (אַווע^קגעלאָזט, אַווע^קגעלאָזן)
",,1. отпускать
,,l אַוועקלאָזן זיך,,"пускаться, отправляться"
,,אַווע^ק׀לויפ׀ן (איז אַווע^קגעלאָפן),,убегать;
,,אַווע^ק׀לייג׀ן (אַווע^קגעלייגט),,"1. класть,"
,,אַוועקלייגן דעם קראַנקן אין בעט,,уложить
,,לייג אַוועק די צייטונג און עס!,,оставь
,,אַוועקלייגן דאָס געווע^ר,,сложить оружие
,,אַוועקלייגן מי,,затратить труд
,,אַוועקלייגן אַלע כּוחות [קויכעס],,положить
,,l אַוועקלייגן זיך,,1) укладываться
,,"אַווע^ק׀לערנ׀ען (אַווע^קגעלערנט)
",,(про)учить(ся) (долго)
,,"אַווע^ק׀מאַכ׀ן (אַווע^קגעמאַכט)
",,"1. устранять, ликвидировать; упразднять"
,,אַוועקמאַכן מיט דער האַנט,,отмахиваться
,,אַווע^ק׀נעמ׀ען (אַווע^קגענומען),,забирать
,,אַוועקנעמען אק. (אין א זייט),,отводить
,,l אַוועקנעמען (ביי),,"забирать, отбирать,"
,,"אַוועק׀פּטר׀ן [אווע^קפּאטערן] (אַוועקגעפּטרט
",,"[אווע^קגעפּאטערט]) 1. разрушать,"
,,"אַווע^ק׀פּעקל׀ען (אַווע^קגעפּעקלט)
",,"отправлять, снаряжать"
,,אַוועקפּעקלען זיך,,"уезжать, отбывать,"
,,"אַווע^ק׀פאַל׀ן (איז אַווע^קגעפאַלן)
",,"1. отпадать, отрываться"
,,אַוועקפאָר מ ־ן,,отъезд; отправление
,,אַווע^ק׀פאָר׀ן (איז אַווע^קגעפאָרן),,уезжать;
,,אַווע^ק׀פיר׀ן (אַוועקגעפירט),,1. уводить;
,,אַווע^ק׀פליִ׀ען (איז אַווע^קגעפלויגן),,улетать
,,אַווע^ק׀ציִ׀ען (אווע^קגעצויגן),,"1. отводить,"
,,l אַוועקציִען זיך,,"1) тянуться,"
,,"אַווע^ק׀קומ׀ען (איז אַווע^קגעקומען)
",,исчезать
,,אַווע^ק׀קוק׀ן (אַווע^קגעקוקט),,отводить
,,אַוועקקוקן פון,,тж. не обращать
,,אַווע^ק׀ראַמ׀ען (אַווע^קגעראַמט),,убирать
,,אַווע^ק׀רייס׀ן (אַווע^קגעריסן) (ביי),,"рвать,"
,,l אַוועקרייסן פון,,отрывать от...
,,אַווע^ק׀שאַר׀ן (אַווע^קגעשאַרט),,"отметать,"
,,"אַווע^ק׀שווענק׀ען (אַווע^קגעשווענקט)
",,"1. смывать, отмывать (полосканием)"
,,"אַווע^ק׀שטאַרב׀ן (איז אַווע^קגעשטאָרבן)
",,(внезапно) умирать
,,"אַווע^ק׀שטויס׀ן (אַווע^קגעשטויסן)
",,1. отталкивать
,,"אַווע^ק׀שטיי׀ן* (איז אַווע^קגעשטאַנען)
",,1. (про)стоять
,,"אַווע^ק׀שטעל׀ן (אַווע^קגעשטעלט)
",,1. ставить (помещать в стоячем
,,אַווע^קשטעלן (אין א זייט),,отставлять
,,l אַוועקשטעלן זיך,,становиться;
,,l אַוועקשטעלן זיך ווי,,принимать позу
,,l אַוועקשטעלן זיך + אינפ.,,"начинать,"
,,אַווע^ק׀שיק׀ן (אַווע^קגעשיקט),,"посылать,"
,,"אַווע^ק׀שלעפּ׀ן (אַווע^קגעשלעפּט)
",,1. оттаскивать
,,l אַוועקשלעפּן ביי,,"рвать, вырывать"
,,"l אַוועקשלעפּן זיך (אין, ביז)",,(по)тащиться
,,"אַווע^ק׀שענק׀ען (אַווע^קגעשענקט, אַווע^קגעשאָנקען)",,"дарить, отдавать"
,,"אַווע^ק׀שרייב׀ן (אַווע^קגעשריבן)
",,"(на)писать (письмо, послание)"
,,אוזאָ^ר מ ־ן,,узор
,,"אוזורפּאַטאָר מ ..אָ^רן (וו ..אָ^רשע)
",,узурпатор
,,אוזורפּיר׀ן (אוזורפּי^רט),,узурпировать
,,"אוזער מ ־ס זען אוזאָר
",,אוטאָפּיע וו ־ס	утопия
,,אוטאָפּיש א,,утопический
,,אוטיליטאַ^ר(יש) א,,утилитарный
,,אוטשאַסטאָק מ ..טקעס,,участок
,,אוי אינט.,,1. ой; ай; ах
,,אוי אַ ווינט!,,ох и ветер!
,,אוי איז זי שיין!,,ох какая красивая!
,,אוי ביסטו עס אַ כיטראַ^ק,,ну и хитёр же
,,אוי־אוי^(־אוי^) אינט.,,"ой-ой-ой!, батюшки!"
,,אויב בינדוו.,,если
,,אויבל מ ־ען (דימ. איי^בעלע),,медаль;
,,אויבן 1. אדוו.,,1. наверху; вверху; сверху
,,(פון) אויבן אויף,,"наверху, сверху,"
,,אויבן אויפן מאַנטל,,поверх пальто
,,אויבן אָן (פון),,на почётном месте;
,,פון אויבן,,сверху (вопросы «где»
,,פון אויבן אַראָ^פּ,,"сверху вниз, свысока;"
,,קוק׀ן פון אויבן אַראָפּ אויף,,смотреть
,,אויבן דערמאָ^נט,,вышеупомянутый
,,אויבן 2. מ ־ס,,"верх, верхняя часть"
,,אויבנאוי^ף מ ־ן,,"поверхность; внешность,"
,,אויבנאויפיק א,,поверхностный;
,,אויבנאָ^ן מ ־ען,,почётное место;
,,"אויבס ז זען אויפּס
",,אוי^בער.. זען ווערטער מיט אייבער..
,,אויג ז ־ן (דימ. אייגל),,глаз
,,"אויג אויף אויג, אונטער פיר אויגן",,с глазу
,,שטעל׀ן אויג אויף אויג מיט,,ставить лицом
,,אַן אויג פאַר אַן אויג,,око за око
,,אויפן אויג,,"на глаз(ок), приблизительно"
,,טרעפ׀ן אויפן אויג,,прикинуть на глаз(ок)
,,אויסן אויג,,"точно как, вылитый"
,,דער טאַטע אויסן אויג,,вылитый отец
,,אין די אויגן,,"в глаза, в лицо"
,,אין פּאָס. אויגן,,в чьих-л. глазах
,,פאַר דאט. אין די אויגן,,на глазах у кого-л.
,,הינטער די אויגן,,1) за глаза; заочно
,,האָב׀ן* גרויסע אויגן,,быть жадным
,,זיין דאט. גרויס אין די אויגן,,действовать
,,אוי^ס׀קוק׀ן זיך די אויגן אויף,,просмотреть
,,"אוי^ס׀שטעל׀ן/אוי^פ׀שטעל׀ן אַ פּאָר אויגן
",,"(אויף) таращить, пялить глаза на...;"
,,האָב׀ן* אַן אויג אויף,,иметь что-л.
,,האַלט׀ן אַן אויג אויף,,"не спускать глаз с...,"
,,וואַרפ׀ן זיך (דאט.) אין די אויגן,,бросаться
,,פאַרליר׀ן פון די אויגן,,терять из виду
,,צו^׀מאַכ׀ן אַן אויג,,"1) задремать,"
,,קוק׀ן מיט אויגן,,смотреть в оба
,,קוק׀ן דאט. אין די אויגן,,"обожать,"
,,קריכ׀ן (דאט.) אין די אויגן,,1) льстить
,,(אוי^פ)׀רייס׀ן (דאט.) די אויגן,,бросаться
,,שטעכ׀ן (דאט.) די אויגן (מיט),,1) раздражать
,,אויגאַנעס מצ.,,глазища
,,"אוי^גאַפּל מ ־ען זען אויגן־אַפּל
",,אויגוסט מ ־ן	август
,,אוי^גן־אַפּל ז ־ען,,глазное яблоко
,,אוי^גנבליק מ ־ן,,мгновение; миг
,,"אוי^גנבליקלעך א, אדוו.",,мгновенный;
,,"אוי^גן־דאָקטער מ ..־דאָקטוירים (וו ־שע)
",,глазной врач
,,"אוי^גן־דעקל, אוי^גן־לעדל,
",,אוי^גן־לעפּל ז ־עך	веко
,,"אוי^גנצאָן מ ..ציין, ..ציינער",,"клык,"
,,אוי^גנקויט מ,,клейкое выделение
,,אוידיטאָריע וו ־ס,,аудитория
,,אוידיע^נץ [дье] וו ־ן,,аудиенция
,,אוידיציע וו ־ס,,радио-/телепередача
,,אוי־וויי^! אינט.,,(выражает огорчение)
,,"אויוון ¹ מ (מצ. ־ס, אוי^ווענעס, דימ. אייוול)
",,"печь, печка"
,,אויוון ² אדוו.,,редк. наверху; вверху; сверху
,,אויטאָ מ ־ס,,авто(мобиль)
,,אויטאָבו^ס מ ־ן,,автобус
,,אויטאָביאָגראַפיע וו ־ס,,автобиография
,,אויטאָביאָגראַפיש א,,автобиографический
,,אויטאָגראַ^ף מ ־ן,,автограф
,,אויטאָדאַפע^ מ ־ען,,аутодафе
,,אויטאָדידאַ^קט מ ־ן,,"самоучка, автодидакт"
,,אויטאָמאָבי^ל מ ־ן,,автомобиль
,,"אויטאָמאָבילי^סט מ ־ן (וו ־קע)
",,автомобилист
,,אויטאָמאַ^ט מ ־ן,,автомат
,,אויטאָמאַטיש א,,автоматический
,,אויטאָנאָ^ם א,,автономный
,,אויטאָנאָמיע וו,,автономия
