אָביעקטיוו 2. מ ־ן	объектив אָביצ(י)ע וו 1. обои 2. цветная бумага для переплёта книг אַביר־לב [אבירלעוו] מ (מצ. אַבירי־
[אבירעלעוו])	жестокосердный человек אַבירות־לב [אבירעסלעוו] וו, ז жестокосердие אָבל [אָוול] מ (מצ. אַבלים [אוויילים], וו ־טע) тот, кто справляет траур; скорбящий
אָבלאַווע וו ־ס	облава
אַבלה [אוויילע] וו (מצ. אַבלות)	та, кто справляет траур; скорбящая
אַבלות [אוויילעס] ז	траур; соблюдение обычаев во время траура
אָבליגאַטאָריש א	обязательный (безусловный для исполнения)
אָבליגאַציע וו ־ס	облигация
אבן־בוחן [עוון־בויכן] מ ־ס	оселок, пробный камень; критерий אַבנט [אוונעט] מ ־ים [אוונייטים] евр. погребальный пояс (надеваемый на покойного)
אבן־טוב [עוונטאָוו] מ (מצ. אבנים־טובות [אוואָנים־טויוועס])	1. драгоценный камень 2. перен. замечательный человек
אבן־נגף [עוון־נעגעף] מ ־ן	камень преткновения
אַבסאָלווענט מ ־ן (וו ־ין)	(в некоторых странах) выпускник средней школы
אַבסאָלוט א, אדוו.	абсолютный; абсолютно
אַבסורד 1. א	абсурдный אַבסורד 2. מ ־ן абсурд
אַבסורדאַל א	абсурдный אַבסטראַהיר׀ן (אַבסטראַהירט) абстрагировать
אַבסטראַקט א	абстрактный; отвлечённый
אַבסטראַקציע וו ־ס	абстракция
אָבסטרוקציע וו ־ס	обструкция אָבסערוואַטאָר מ ..אָרן (וו ..אָרשע) наблюдатель
אָבסערוואַטאָריע וו ־ס	обсерватория
אָבסערוויר׀ן (אָבסערווירט)	наблюдать
אַבעדריק, אָבעדריק מ ־עס	ремень хомутной завязки (мягкой подстилки под хомутом) אָבער 1. אדוו.:
אָבער (אַ מאָל)	опять, снова; в третий раз
אָבער און ווידער	снова и снова
אָבער 2. בינדוו.	1. (выражает ограничение, уступку) но, однако; только; да; зато אַ שווערע, אָבער אַן אינטערעסאַנטע
אַרבעט	трудная, но интересная работа כ'וואָלט זיך דורכגעגאַן, כ'האָב אָבער ניט
ווען	хорош бы ты был, если... 5. довольно значительный, приличный, порядочный, хороший ס'איז נאָך געבליבן אַ שיין ביסל צו גיין идти ещё порядочно/хороший кусок
שלעכט	мальчик читает хорошо, а пишет плохо
אין דער אמתן [עמעסן] אָבער	фактически же
אָבער 3. פּארטיקל	же, и
כ'האָב אָבער געוווּסט!	я так и знал!, так и есть!
אָבערגלויבן מ ־ס	суеверие
אָבערגלייביק, אָבערגלייביש א	суеверный אָבערעם מ זען ברעם ² אָבצאַס מ ־ן זען אָפּצאַס אָבצווענגע וו ־ס זען אָפּצווענגע
אבר [אייווער] מ ־ים [אייוורים]	член, орган
(מענלעכ׀ער) אבר	половой член, пенис
אָבראָט מ ־ן	недоуздок, повод
אַברהם אָבינו [אווראָם אָווינו] אג''נ מ	(наш) праотец Авраам אבר־מן־החי [אייווער־מינאכיי] מ конечность или другая часть тела животного, оторванная живьём (и, по еврейским законам, запрещённая к употреблению в пищу)
אַ''ג = אַזוי גערופ_ן	так называемый
אַגאַט מ	агат
אָגאָניק מ ..נקעס	1. строй, ряд 2. хвост, шлейф
אָגאָראָד מ ־ן	1. огород 2. теплица
אַגב [אגעוו] אדוו.	между прочим, кстати
אַגב־אורחא [אגעוו־אורכע] אדוו.	между прочим, мимоходом, попутно, походя, вскользь
אַגבדיק [אגעוודיק] א, אדוו.	случайный, попутный; случайно, попутно
אַגדה [אגאָדע] וו (מצ. אַגדות)	1. легенда, сказание, сказка 2. Аг(г)ада (легенды, притчи, изречения и т. п., содержащиеся в талмуде и другой раввинистической литературе, имеющие, в противоположность ³алахе, этический, а не юридически регламентирующий характер, а также выполняющие иллюстративную функцию) הלכה см. тж. אַגדתּא [אגאדעטע] וו (מצ. אַגדתּות) זען אַגדה
אַגודה [אגודע] וו (מצ. אַגודות)	общество, организация, объединение
אַגודהניק [אגודעניק] מ ־עס	член ¾бъединения исраэлитов ) אגודת־ישׂראל (см. אַגודת־ישׂראל [אגודעס־ייִסראָעל] וו Агудат ¸сраэль (¾бъединение исраэлитов) – название ультраортодоксального антисионистского еврейского союза, основанного в 1912 г. и пользовавшегося особенно большим влиянием в ¿ольше в 20–30-х гг.
אַגיטאַציע וו ־ס	агитация
אַגיטיר׀ן (אַגיטירט)	агитировать אָגיל־ואשׂמח [אָגל־וועעסמאך] א פּרעד., אדוו. 1. весёлый, радостный, довольный; весело, радостно (ивр. букв. «²озвеселюсь и возрадуюсь») 2. шутл. гладкий, правильный; гладко, правильно
אַגענט מ ־ן (וו ־קע)	агент
אַגענטור וו ־ן	1. агентство 2. агентура
אַגענץ וו	агентство
אָגער מ ־ס	жеребец אָגראָד מ ־ן זען אָגאָראָד
אַגראַר..	аграрный אַגריקולטור וו сельское хозяйство, земледелие, агрономия
אַגרעס מ =, ־ן	крыжовник
אַגרעסיוו א, אדוו.	агрессивный; агрессивно
אַגרעסיע [сье] וו ־ס	агрессия
אַדאָ אדוו.	разг. (вот) тут; (вот) там
אַ דאַנק פּרעפּ.	благодаря
אַדאָפּטירונג וו ־ען	усыновление; удочерение
אַדאָפּטיר׀ן (אַדאָפּטירט)	усыновлять; удочерять
אד''גל = און דאָס/דעס גלייכן	и т. п. (и тому подобное)
אַדוואָקאַט מ ־ן (וו ־ין)	адвокат
אַדווערב מ ־ן	наречие
אדום [עדעם] אג''נ ז	библ. Íдом (народ, происходящий от ¸сава)
אָדון [אָדן] (מצ. אַדונים [אדוינים])	1. господин 2. разг. начальник (нееврейский) אָדון־בפקדך [אָדן־בעפאָקדעכאָ] מ разг., обыкн. ирон. большой начальник (ивр. букв. «² день силы твоей, ³осподи») אָדון־הגדול [אָדן־האגאָדל] מ сановник, вельможа אַדוני [אדויני] העפל. + מ: אַדוני מלך [אדויני מיילעך] ваше величество, государь
אַדוני פּרץ [אדויני פּאָרעץ]	барин (обращение к помещику)
אָדוק [אָדעק] מ (מצ. אַדוקים)	тот, кто строго соблюдает все предписания религии; истово верующий, фанатик אַדורכ.. זען ווערטער מיט דורכ..
אַדיוטאַנט [дью] מ ־ן	адъютант
אַדיע [дье] אינט.	до свидания
אַדיעקטיוו [дье] מ ־ן	имя прилагательное
אַדיר מ ־ים	(большой) богач
אַדל מ	дворянство (сословие)
אָדליגע וו ־ס	оттепель
אַדלמאַן מ (מצ. אַדללייט)	дворянин
אָדלער מ ־ס	орёл
אַדלפרוי וו ־ען	дворянка
אָדם [אָדעם] אג''נ מ	Адам אָדם־גדול [אָדעם־גאָדל] מ большой человек, знаменитость
אַדמה [אדאָמע] וו	шутл. земля
ליג׀ן אין דער אַדמה	разг. находиться в жалком состоянии
גיי׀ן* אין דער אַדמה	разг. идти к чёрту
האָב׀ן* אין דער אַדמה	разг. плевать (хотеть) на... אָדם הראשון [אָדעם האָרישן] אג''נ מ библ. первый человек, Адам אַדמיניסטראַטיוו א, אדוו.
.	отныне, в дальнейшем, впредь מהיכא־תּיתי [מעכ(ע)טייסע] אינט. (ну и) ладно (выражает склонность согласиться, нежелание спорить); почему/отчего бы (и) нет; ничего не имею против, не возражаю; как вам угодно מה־יעשׂהניק [מאיייסעניק] מ ־עס развратник, распутник; бездельник
אַדמיניסטראַציע וו ־ס	администрация אַדמיניסטריר׀ן (אַדמיניסטרירט) администрировать
אַדמיראַל מ ־ן	адмирал
אָדע וו ־ס	ода
אַדעליק א	знатный (относящийся к знати – род и т. п.); дворянский אַדעס, אָדעס אג''נ ז ¾десса
לעב׀ן ווי גאָט אין אָדעס	жить припеваючи
אָדעקאָלאָן מ ־ען	одеколон
אַדעקוואַט א	адекватный
אָדער ¹ וו, מ ־ן	1. жила (кровеносный сосуд) 2. жилка, прожилка (растения; в камне, металле, дереве и т. п.)
גילדענ׀ע(ר) אָדער	геморрой
טרענ׀ען דאט. די אָדערן	не оставлять кого-л. в покое, мучить, беспокоить
שלאָג׀ן/לאָז׀ן דאט. צו דער אָדער	пускать кровь, делать кровопускание
אָדער ² בינדוו.	или
אָדער... אָדער	или... или..., либо... либо...
אָדער־אָדער!	или-или
אָדערדיק א	жилистый אַדערויף מ ־ן זען אַדרויף
אָדערייִד מ ־ן	уст. шутл. еврей с геморроем (такой, кого типичные для многих евреев сидячий образ жизни и постоянные умственные занятия довели до геморроя)
אָדערל ז ־עך	жилка אָדר [אָדער] מ еврейский месяц адар (февраль–март)
אַדרבא [אד(ע)ראבע]	1. вводн. сл. напротив, наоборот; пожалуй (выражает допущение возможного, склонность согласиться) איך בין ניט קעגן אים. אַדרבא, ער געפעלט
מיר	Ï не против него. ½аоборот/¿ожалуй, он мне нравится 2. частица пожалуйста; да, конечно! (выражает согласие сверх или против чьего-л. ожидания) 3. частица ну, давай(те)!; ну(-ка) (выражает побуждение или предостережение)
אַדרבא, זאָל ער זאָגן	ну-ка, пусть он скажет אַדרבא, פּרוּוו האָבן די העזה [האָזע]! только посмей! אַדרבא־ואַדרבא [אד(ע)ראבע־וועאד(ע)ראבע] конечно!, пожалуйста!, с превеликим удовольствием! זיין* אַדרבא־ואַדרבא מיט хорошо относиться к..., вести себя по-доброму с... אַדרבה אינט. זען אַדרבא
אַדרויף מ ־ן	задаток
אַדרעס, אַדרעס מ ..עסן	адрес
אַדרעסאַט מ ־ן (וו ־ין)	получатель, адресат
אַדרעסאַנט מ ־ן (וו ־ין)	отправитель, адресант
אַדרעסיר׀ן (אַדרעסירט)	адресовать
אַדרעסן־בוך ז ..ביכער	адресная книга אָדר־ראשון [אָדער־רישן] מ первый адар (в еврейском високосном году) אָדר см. тж.
אָדר־שני [אָדער־שייני] מ	второй адар (в еврейском високосном году) ואָדר см. тж.
אַהאַ אינט.	ага!
אָהאָ אינט.	ого!
אַהבה [אאווע] וו	любовь (к ±огу)
אַהבה־רבה [אאווע־ראבע] וו	глубокая любовь
אַהבת־נפש [אאוועס־נעפעש] וו	душевная близость, сердечное влечение אַהולאָם אדוו. זען אַהולנע 2.
אַהולניק מ ־עס	оптовик
אַהולנע 1. א	1. взятый в целом 2. оптовый 3. огульный
אַהולנע 2. אדוו.	1. оптом 2. огульно
אַהיים אדוו.	домой
אַהין אדוו., קאָנוו.	туда
אַהין און אַהער/צוריק	туда и обратно, в оба конца; взад и вперёд
ניט אַהין ניט אַהער	ни туда ни сюда; ни взад ни вперёд
אַהין אָדער אַהער!	туда или сюда! (о необходимости решиться)
אַהין צו וועגס	по дороге туда; на прямом пути
אַהין צו (צו)	туда (в ясном из контекста направлении)
אַהינ׀טאָ׀ן* (אַהינגעטאָן)	девать
אַהינטאָן זיך	деваться
אַהינטער אדוו.	назад; сзади, позади פאַררוקן דאָס היטל אויף אַהינטער сдвинуть шапку на затылок אַהין צו (צו) אדוו. זען אין אַהין אַהינ׀קומ׀ען (איז אַהינגעקומען) 1. приходить (по направлению от говорящего) 2. деваться אהל מ ־ים זען אוהל
אַהער אדוו., קאָנוו.	сюда
ביז אַהער	до сих пор, до этого места
אַהער צו וועגס	по дороге сюда; на обратном пути
אַהער צו (צו)	(к нам) сюда
אַהער׀געב׀ן* (אַהערגעגעבן)	(по)давать (по направлению к говорящему) אַהער צו (צו) אדוו. זען אין אַהער אַהער׀קומ׀ען (איז אַהערגעקומען) 1. приходить (по направлению к говорящему) 2. оказаться, очутиться (там, где находится говорящий)
ווי (אַרום) קומט איר אַהערЯ	как вы здесь очутилисьЯ, какими судьбами (вы сюда попали)Я אַהרן הכּהן [ארן האקויען] אג''נ מ библ. священник Аарон (брат ¼оисея) אוביאָר מ ־ן 1. наряд, убор, одеяние 2. упряжь אוגאָד(ז)יען (אוגאָד(ז)יעט) [д(з)е] דאט. (מיט) угождать кому-л. чем-л. אוגעראָק, אוגעריק מ ..רקעס זען אוגערקע
אוגערקע וו ־ס	огурец
זויער׀ע אוגערקע	солёный/ маринованный огурец
אוהב־ישׂראל [אויעוו־ייִסראָעל] מ (מצ. אוהבי־ [אויעווע־])	тот, кто любит (других) евреев; друг евреев אוהב נאמן [אויעוו נעמען] מ (מצ. אוהבים נאמנים [אויאווים נעמאָנים]) верный, надёжный друг
אוהל [אוי(ה)על] מ ־ים [אוי(ה)אָלים]	евр. гробница
אָוואַ אינט.	(выражает изумление) боже мой!, вот так так!, вот те на!, неужелиЯ, батюшки!; о-о אַוואו זען וווּ
אָוואַל 1. א	овальный
אָוואַל 2. מ ־ן	овал אָוואַלנע א זען אָוואַל 1.
אַוואַנגאַרד מ ־ן	авангард
אַוואַנטוריסט מ ־ן (וו ־קע)	авантюрист; искатель приключений אַוואַנטורע וו ־ס 1. приключение 2. авантюра 3. позорный, постыдный факт; скандальное происшествие
אַוואַנס מ ־ן	аванс אַוואַנסיר׀ן (אַוואַנסירט) продвигаться вперёд
אַוואַנפּאָסט מ ־ן	аванпост
אָוואַציע וו ־ס	овация
אַוואָקאַדאָ מ ־ס	авокадо אַווגוסט מ זען אויגוסט
אַוודאי [אוואדע] אדוו.	конечно, разумеется; подавно; наверно(е), непременно, без сомнения; (с меньшей уверенностью) пожалуй, чай
אַוודאי און אַוודאי	1) без всякого сомнения 2) тем более אַוווּ זען וווּ אוּוואַ אינט. זען אָוואַ
אוּוווּלע וו ־ס	язычок анат. אוּוויר׀ן (אוּווירט) זען אָווירן
אוּווערטור וו ־ן	увертюра אַווטאָ.. זען ווערטער מיט אויטאָ..
אַוויאַטאָר מ ..אָרן (וו ..אָרשע)	авиатор
אַוויאַציע וו ־ס	авиация
אַוויז מ ־ן	авизо
אַוויזיר׀ן (אַוויזירט)	уведомлять
אַוויר [אווער] מ	1. поэт. воздух 2. испорченный воздух; вонь אַוויר׀ן [אווערן] (געאַווירט [געאווערט])
(מיט)	1. сталкиваться с..., удариться о... 2. сталкиваться, схватываться, сцепляться с...; поспорить, поссориться, подраться с...
אָוויר׀ן (אָווירט)	ухаживать
אָוונט מ ־ן	вечер
אין אָוונט	вечером
אַ גוטן אָוונט	добрый вечер!
אָוונטבלאַט ז ..בלעטער	вечерняя газета
אָוונטברויט ז ־ן	ужин
עסן אָוונטברויט	тж. ужинать
אָוונטיק א	вечерний
אָוונטל ז ־עך	маковая коврижка
אָוונטקלייד ז ־ער	вечернее платье
אָוונטשול וו ־ן	вечерняя школа
אָוונט־שטערן מ	вечерняя звезда (²енера) אַווסטראַליע אג''נ וו זען אויסטראַליע אַוועלכ׀ער א, פּראָנ. זען וועלכער
אַוועק 1. א פּרעד.	(не в наст. вр.) אוועקגיין =
איך בין אַוועק	я ушёл
איך וועל אַוועק	я уйду
אַוועק 2. אדוו.	прочь; далеко
אַוועק 3. אינט.	прочь!, вон!, пошёл (вон)!
אַוועק 4. קאָנוו.	придаёт глаголу различные значения, в частности удаления, отделения, устранения, напр.:
אַוועק׀לויפ׀ן	убежать
אַוועק׀שטויס׀ן	оттолкнуть
אַוועק׀שנייד׀ן	отрезать продолжительного действия, напр.:
אַוועק׀רעד׀ן	проговорить (значительное время) утверждения в каком-л. продолжительном состоянии, напр.:
אַוועק׀הענג׀ען	повесить (надолго) умело, старательно, с увлечением выполненного действия, напр.:
אַוועק׀זינג׀ען	спеть (как следует, от души) אַוועק׀אייל׀ן (אַוועקגעאיילט) мчаться прочь, умчаться אַוועק׀אַרבעט׀ן (אַוועקגעאַרבעט) (про)работать (какое-л. длительное время) אַוועק׀באָרג׀ן (אַוועקגעבאָרגט) одалживать (надолго) אַוועק׀בלאָז׀ן (אַוועקגעבלאָזן) сдувать
אַוועקגאַנג מ	уход; отход אַוועק׀גזל׀ען [אוועקגאזלען] (אַוועקגעגזלט [אוועקגעגאזלט]) (ביי) похищать, отнимать насильно у кого-л. אַוועק׀גיי׀ן* (איז אַוועקגעגאַנגען) 1. уходить; отходить אַוועק 1. см. тж.
אַוועק(גיין) מיטן רויך	пойти прахом; развеяться как дым 2. пойти, начинать идти (начинать интенсивно осуществляться; происходить, развиваться каким-л. образом) עס איז אַוועק(געגאַנגען) אַ שמועס завязалась беседа
אַז די אַרבעט וועט גוט אַוועק(גיין)	если работа пойдёт хорошо 3. проходить, миновать
l אַוועק(גיין) פון	уходить с... (переставать заниматься чем-л.); оставлять, покидать
אַוועקגיין פון דער אַרבעט	уйти с работы, уволиться
l אַוועק(גיין) (אויף)	уходить, идти, расходоваться, употребляться, тратиться на... אַוועק׀גנבע׀נען [אוועקגאנווענען] (אַוועקגעגנבעט [אוועקגעגאנוועט]) (ביי) (у)красть, похищать у кого-л.
אַוועקגנבענען זיך	ускользать, улизнуть
אַוועק׀געב׀ן* (אַוועקגעגעבן)	отдавать; сдавать אַוועק׀דינ׀ען (אַוועקגעדינט) (דאט.) прослужить, отдать службе (долгое время)
אַוועק׀דריי׀ען (אַוועקגעדרייט)	повернуть в другую сторону, отвернуть
אַוועק׀האַלט׀ן (אַוועקגעהאַלטן)	держать в отдалении אַוועק׀הרגע׀נען [אוועקהארגענען] (אַוועקגעהרגעט [אוועקגעהארגעט]) 1. убивать 2. губить
אַוועק׀וואַרפ׀ן (אַוועקגעוואָרפן)	1. бросать (далеко; небрежно) 2. выбрасывать, отбрасывать 3. бросать, оставлять, покидать, забрасывать
אַוועקוואַרפן דאָס ווייב, די קינדער	бросить жену, детей
אַוועקוואַרפן די לער	забросить учёбу
אַוועק׀וואַש׀ן (אַוועקגעוואַשן)	смывать; отмывать אַוועק׀זיצ׀ן (איז אַוועקגעזעסן) просиживать, отсиживать (долго)
אַוועק׀זעצ׀ן (אַוועקגעזעצט)	сажать, усаживать
אַוועקזעצן זיך	садиться, усаживаться
אַוועק׀טאָ׀ן* (אַוועקגעטאָן)	1. отставлять (в сторону) 2. устранять
אַוועק׀טראָג׀ן (אַוועקגעטראָגן)	уносить; относить
אַוועקטראָגן זיך	удаляться, убираться
אַוועק׀כאַפּ׀ן (אַוועקגעכאַפּט)	1. вырывать (из рук) 2. похищать (насильственно или обманом уводить, увозить кого-л.) אַוועק׀לאָז׀ן (אַוועקגעלאָזט, אַוועקגעלאָזן) 1. отпускать 2. увольнять
l אַוועקלאָזן זיך	пускаться, отправляться
אַוועק׀לויפ׀ן (איז אַוועקגעלאָפן)	убегать; сбегать
אַוועק׀לייג׀ן (אַוועקגעלייגט)	1. класть, укладывать; помещать; водворять
אַוועקלייגן דעם קראַנקן אין בעט	уложить больного в постель 2. откладывать; оставлять, бросать (прекращать что-л. делать)
לייג אַוועק די צייטונג און עס!	оставь газету и ешь!
אַוועקלייגן דאָס געווער	сложить оружие 3. класть, употреблять, затрачивать
אַוועקלייגן מי	затратить труд
אַוועקלייגן אַלע כּוחות [קויכעס]	положить все силы 4. уложить (побороть, победить; убить); свалить; сразить
l אַוועקלייגן זיך	1) укладываться (для сна, отдыха) 2) выкладываться, усердствовать אַוועק׀לערנ׀ען (אַוועקגעלערנט) (про)учить(ся) (долго) אַוועק׀מאַכ׀ן (אַוועקגעמאַכט) 1. устранять, ликвидировать; упразднять 2. пренебрегать
אַוועקמאַכן מיט דער האַנט	отмахиваться от...
אַוועק׀נעמ׀ען (אַוועקגענומען)	забирать (завладевать, захватывать)
אַוועקנעמען אק. (אין א זייט)	отводить кого-л. в сторону (для разговора)
l אַוועקנעמען (ביי)	забирать, отбирать, отнимать у... אַוועק׀פּטר׀ן [אוועקפּאטערן] (אַוועקגעפּטרט [אוועקגעפּאטערט]) 1. разрушать, (за)губить (жизнь, здоровье) 2. избавляться от...; уничтожать 3. разг. пристукнуть, убивать אַוועק׀פּעקל׀ען (אַוועקגעפּעקלט) отправлять, снаряжать
אַוועקפּעקלען זיך	уезжать, отбывать, отправляться (с вещами) אַוועק׀פאַל׀ן (איז אַוועקגעפאַלן) 1. отпадать, отрываться 2. отменяться, упраздняться
אַוועקפאָר מ ־ן	отъезд; отправление (поезда и т. п.)
אַוועק׀פאָר׀ן (איז אַוועקגעפאָרן)	уезжать; отправляться
אַוועק׀פיר׀ן (אַוועקגעפירט)	1. уводить; отводить 2. увозить; отвозить
אַוועק׀פליִ׀ען (איז אַוועקגעפלויגן)	улетать
אַוועק׀ציִ׀ען (אוועקגעצויגן)	1. отводить, оттягивать; отвлекать 2. затягивать, задерживать 3. уходить, уезжать, отправляться в путь
l אַוועקציִען זיך	1) тянуться, простираться, уходить 2) тянуться, длиться; идти, течь (медленно, однообразно) אַוועק׀קומ׀ען (איז אַוועקגעקומען) исчезать
אַוועק׀קוק׀ן (אַוועקגעקוקט)	отводить взгляд
אַוועקקוקן פון	тж. не обращать внимания на кого-л., что-л., не придавать значения кому-л., чему-л.
אַוועק׀ראַמ׀ען (אַוועקגעראַמט)	убирать (что-л. занимающее место); подметать
אַוועק׀רייס׀ן (אַוועקגעריסן) (ביי)	рвать, вырывать (из рук)
l אַוועקרייסן פון	отрывать от... (отделять; отводить; отвлекать)
אַוועק׀שאַר׀ן (אַוועקגעשאַרט)	отметать, отгребать; отстранять אַוועק׀שווענק׀ען (אַוועקגעשווענקט) 1. смывать, отмывать (полосканием) 2. сносить, смывать אַוועק׀שטאַרב׀ן (איז אַוועקגעשטאָרבן) (внезапно) умирать אַוועק׀שטויס׀ן (אַוועקגעשטויסן) 1. отталкивать 2. прогонять אַוועק׀שטיי׀ן* (איז אַוועקגעשטאַנען) 1. (про)стоять (какое-л. длительное время) 2. держаться на расстоянии, оставаться в стороне 3. неплотно затворяться, быть приоткрытым אַוועק׀שטעל׀ן (אַוועקגעשטעלט) 1. ставить (помещать в стоячем положении); устанавливать
אַוועקשטעלן (אין א זייט)	отставлять в сторону 2. ставить, назначать 3. основывать, учреждать
l אַוועקשטעלן זיך	становиться; устанавливаться
l אַוועקשטעלן זיך ווי	принимать позу кого-л., выставлять себя кем-л.
l אַוועקשטעלן זיך + אינפ.	начинать, приниматься что-л. делать
אַוועק׀שיק׀ן (אַוועקגעשיקט)	посылать, отправлять אַוועק׀שלעפּ׀ן (אַוועקגעשלעפּט) 1. оттаскивать 2. утаскивать, увлекать
l אַוועקשלעפּן ביי	рвать, вырывать (из рук)
l אַוועקשלעפּן זיך (אין, ביז)	(по)тащиться куда-л.; дотащиться до...
אַוועק׀שענק׀ען (אַוועקגעשענקט, אַוועקגעשאָנקען)	дарить, отдавать в подарок אַוועק׀שרייב׀ן (אַוועקגעשריבן) (на)писать (письмо, послание)
אוזאָר מ ־ן	узор אוזורפּאַטאָר מ ..אָרן (וו ..אָרשע) узурпатор
אוזורפּיר׀ן (אוזורפּירט)	узурпировать אוזער מ ־ס זען אוזאָר
אוטאָפּיע וו ־ס	утопия
אוטאָפּיש א	утопический
אוטיליטאַר(יש) א	утилитарный
אוטשאַסטאָק מ ..טקעס	участок (административное подразделение; отделение городской полиции)
אוי אינט.	1. ой; ай; ах 2. ох (как, какой); ох и; ну и
אוי אַ ווינט!	ох и ветер!
אוי איז זי שיין!	ох какая красивая!
אוי ביסטו עס אַ כיטראַק	ну и хитёр же ты!
אוי־אוי(־אוי) אינט.	ой-ой-ой!, батюшки!
אויב בינדוו.	если
אויבל מ ־ען (דימ. אייבעלע)	медаль; медальон
אויבן 1. אדוו.	1. наверху; вверху; сверху (вопрос «где»)
(פון) אויבן אויף	наверху, сверху, на/по поверхности
אויבן אויפן מאַנטל	поверх пальто
אויבן אָן (פון)	на почётном месте; во главе (стола и т. п.)
פון אויבן	сверху (вопросы «где» и «откуда»)
פון אויבן אַראָפּ	сверху вниз, свысока; снисходительно
קוק׀ן פון אויבן אַראָפּ אויף	смотреть свысока; обращаться снисходительно
אויבן דערמאָנט	вышеупомянутый 2. выше (в тексте)
אויבן 2. מ ־ס	верх, верхняя часть
אויבנאויף מ ־ן	поверхность; внешность, наружность
אויבנאויפיק א	поверхностный; легковесный
