Base,Romanized,Yiddish,Gloss,Definition
,,אַוויזיר׀ן (אַוויזי^רט),,уведомлять
,,אַוויר [אווער] מ,,1. поэт. воздух
,,(מיט),,вонять чем-л.
,,אָוויר׀ן (אָווי^רט),,ухаживать
,,אָוונט מ ־ן,,вечер
,,אין אָוונט,,вечером
,,אַ גוטן אָוונט,,добрый вечер!
,,אָ^וונטבלאַט ז ..בלעטער,,вечерняя
,,אָ^וונטברויט ז ־ן,,ужин
,,עסן אָוונטברויט,,тж. ужинать
,,אָ^וונטיק א,,вечерний
,,אָ^וונטל ז ־עך,,маковая коврижка
,,אָ^וונטקלייד ז ־ער,,вечернее платье
,,אָ^וונטשול וו ־ן,,вечерняя школа
,,אָ^וונט־שטערן מ,,вечерняя звезда
,,אַווע^ק 1. א פּרעד.,,(не в наст. вр.)
,,איך בין אַוועק,,я ушёл
,,איך וועל אַוועק,,я уйду
,,אַווע^ק 2. אדוו.,,прочь; далеко
,,אַווע^ק 3. אינט.,,"прочь!, вон!, пошёл (вон)!"
,,אַווע^ק 4. קאָנוו.,,придаёт глаголу
,,אַווע^ק׀לויפ׀ן,,убежать
,,אַווע^ק׀שטויס׀ן,,оттолкнуть
,,אַווע^ק׀שנייד׀ן,,отрезать
,,אַווע^ק׀רעד׀ן,,проговорить
,,אַווע^ק׀הענג׀ען,,повесить (надолго)
,,אַווע^ק׀זינג׀ען,,"спеть (как следует,"
,,אַוועקגאַנג מ,,уход; отход
,,אַוועק(גיין) מיטן רויך,,пойти прахом;
,,אַז די אַרבעט וועט גוט אַוועק(גיין),,если
,,l אַוועק(גיין) פון,,уходить с...
,,אַוועקגיין פון דער אַרבעט,,"уйти с работы,"
,,l אַוועק(גיין) (אויף),,"уходить, идти,"
,,אַוועקגנבענען זיך,,"ускользать, улизнуть"
,,אַווע^ק׀געב׀ן* (אַווע^קגעגעבן),,отдавать;
,,אַווע^ק׀דריי׀ען (אַווע^קגעדרייט),,повернуть
,,אַווע^ק׀האַלט׀ן (אַווע^קגעהאַלטן),,держать
,,אַווע^ק׀וואַרפ׀ן (אַווע^קגעוואָרפן),,1. бросать
,,"אַוועקוואַרפן דאָס ווייב, די קינדער",,бросить
,,אַוועקוואַרפן די לער,,забросить учёбу
,,אַווע^ק׀וואַש׀ן (אַווע^קגעוואַשן),,смывать;
,,אַווע^ק׀זעצ׀ן (אַווע^קגעזעצט),,"сажать,"
,,אַוועקזעצן זיך,,"садиться, усаживаться"
,,אַווע^ק׀טאָ׀ן* (אַווע^קגעטאָן),,1. отставлять
,,אַווע^ק׀טראָג׀ן (אַווע^קגעטראָגן),,уносить;
,,אַוועקטראָגן זיך,,"удаляться, убираться"
,,אַווע^ק׀כאַפּ׀ן (אַווע^קגעכאַפּט),,1. вырывать
,,l אַוועקלאָזן זיך,,"пускаться, отправляться"
,,אַווע^ק׀לויפ׀ן (איז אַווע^קגעלאָפן),,убегать;
,,אַווע^ק׀לייג׀ן (אַווע^קגעלייגט),,"1. класть,"
,,אַוועקלייגן דעם קראַנקן אין בעט,,уложить
,,לייג אַוועק די צייטונג און עס!,,оставь
,,אַוועקלייגן דאָס געווע^ר,,сложить оружие
,,אַוועקלייגן מי,,затратить труд
,,אַוועקלייגן אַלע כּוחות [קויכעס],,положить
,,l אַוועקלייגן זיך,,1) укладываться
,,אַוועקמאַכן מיט דער האַנט,,отмахиваться
,,אַווע^ק׀נעמ׀ען (אַווע^קגענומען),,забирать
,,אַוועקנעמען אק. (אין א זייט),,отводить
,,l אַוועקנעמען (ביי),,"забирать, отбирать,"
,,אַוועקפּעקלען זיך,,"уезжать, отбывать,"
,,אַוועקפאָר מ ־ן,,отъезд; отправление
,,אַווע^ק׀פאָר׀ן (איז אַווע^קגעפאָרן),,уезжать;
,,אַווע^ק׀פיר׀ן (אַוועקגעפירט),,1. уводить;
,,אַווע^ק׀פליִ׀ען (איז אַווע^קגעפלויגן),,улетать
,,אַווע^ק׀ציִ׀ען (אווע^קגעצויגן),,"1. отводить,"
,,l אַוועקציִען זיך,,"1) тянуться,"
,,אַווע^ק׀קוק׀ן (אַווע^קגעקוקט),,отводить
,,אַוועקקוקן פון,,тж. не обращать
,,אַווע^ק׀ראַמ׀ען (אַווע^קגעראַמט),,убирать
,,אַווע^ק׀רייס׀ן (אַווע^קגעריסן) (ביי),,"рвать,"
,,l אַוועקרייסן פון,,отрывать от...
,,אַווע^ק׀שאַר׀ן (אַווע^קגעשאַרט),,"отметать,"
,,אַווע^קשטעלן (אין א זייט),,отставлять
,,l אַוועקשטעלן זיך,,становиться;
,,l אַוועקשטעלן זיך ווי,,принимать позу
,,l אַוועקשטעלן זיך + אינפ.,,"начинать,"
,,אַווע^ק׀שיק׀ן (אַווע^קגעשיקט),,"посылать,"
,,l אַוועקשלעפּן ביי,,"рвать, вырывать"
,,"l אַוועקשלעפּן זיך (אין, ביז)",,(по)тащиться
,,"אַווע^ק׀שענק׀ען (אַווע^קגעשענקט, אַווע^קגעשאָנקען)",,"дарить, отдавать"
,,אוזאָ^ר מ ־ן,,узор
,,אוזורפּיר׀ן (אוזורפּי^רט),,узурпировать
,,אוטאָפּיע וו ־ס,,утопия
,,אוטאָפּיש א,,утопический
,,אוטיליטאַ^ר(יש) א,,утилитарный
,,אוטשאַסטאָק מ ..טקעס,,участок
,,אוי אינט.,,1. ой; ай; ах
,,אוי אַ ווינט!,,ох и ветер!
,,אוי איז זי שיין!,,ох какая красивая!
,,אוי ביסטו עס אַ כיטראַ^ק,,ну и хитёр же
,,אוי־אוי^(־אוי^) אינט.,,"ой-ой-ой!, батюшки!"
,,אויב בינדוו.,,если
,,אויבל מ ־ען (דימ. איי^בעלע),,медаль;
,,אויבן 1. אדוו.,,1. наверху; вверху; сверху
,,(פון) אויבן אויף,,"наверху, сверху,"
,,אויבן אויפן מאַנטל,,поверх пальто
,,אויבן אָן (פון),,на почётном месте;
,,פון אויבן,,сверху (вопросы «где»
,,פון אויבן אַראָ^פּ,,"сверху вниз, свысока;"
,,קוק׀ן פון אויבן אַראָפּ אויף,,смотреть
,,אויבן דערמאָ^נט,,вышеупомянутый
,,אויבן 2. מ ־ס,,"верх, верхняя часть"
,,אויבנאוי^ף מ ־ן,,"поверхность; внешность,"
,,אויבנאויפיק א,,поверхностный;
,,אויבנאָ^ן מ ־ען,,почётное место;
,,אויג ז ־ן (דימ. אייגל),,глаз
,,"אויג אויף אויג, אונטער פיר אויגן",,с глазу
,,שטעל׀ן אויג אויף אויג מיט,,ставить лицом
,,אַן אויג פאַר אַן אויג,,око за око
,,אויפן אויג,,"на глаз(ок), приблизительно"
,,טרעפ׀ן אויפן אויג,,прикинуть на глаз(ок)
,,אויסן אויג,,"точно как, вылитый"
,,דער טאַטע אויסן אויג,,вылитый отец
,,אין די אויגן,,"в глаза, в лицо"
,,אין פּאָס. אויגן,,в чьих-л. глазах
,,פאַר דאט. אין די אויגן,,на глазах у кого-л.
,,הינטער די אויגן,,1) за глаза; заочно
,,האָב׀ן* גרויסע אויגן,,быть жадным
,,זיין דאט. גרויס אין די אויגן,,действовать
,,אוי^ס׀קוק׀ן זיך די אויגן אויף,,просмотреть
,,האָב׀ן* אַן אויג אויף,,иметь что-л.
,,האַלט׀ן אַן אויג אויף,,"не спускать глаз с...,"
,,וואַרפ׀ן זיך (דאט.) אין די אויגן,,бросаться
,,פאַרליר׀ן פון די אויגן,,терять из виду
,,צו^׀מאַכ׀ן אַן אויג,,"1) задремать,"
,,קוק׀ן מיט אויגן,,смотреть в оба
,,קוק׀ן דאט. אין די אויגן,,"обожать,"
,,קריכ׀ן (דאט.) אין די אויגן,,1) льстить
,,(אוי^פ)׀רייס׀ן (דאט.) די אויגן,,бросаться
,,שטעכ׀ן (דאט.) די אויגן (מיט),,1) раздражать
,,אויגאַנעס מצ.,,глазища
,,אויגוסט מ ־ן,,август
,,אוי^גן־אַפּל ז ־ען,,глазное яблоко
,,אוי^גנבליק מ ־ן,,мгновение; миг
,,"אוי^גנבליקלעך א, אדוו.",,мгновенный;
,,אוי^גן־לעפּל ז ־עך,,веко
,,"אוי^גנצאָן מ ..ציין, ..ציינער",,"клык,"
,,אוי^גנקויט מ,,клейкое выделение
,,אוידיטאָריע וו ־ס,,аудитория
,,אוידיע^נץ [дье] וו ־ן,,аудиенция
,,אוידיציע וו ־ס,,радио-/телепередача
,,אוי־וויי^! אינט.,,(выражает огорчение)
,,אויוון ² אדוו.,,редк. наверху; вверху; сверху
,,אויטאָ מ ־ס,,авто(мобиль)
,,אויטאָבו^ס מ ־ן,,автобус
,,אויטאָביאָגראַפיע וו ־ס,,автобиография
,,אויטאָביאָגראַפיש א,,автобиографический
,,אויטאָגראַ^ף מ ־ן,,автограф
,,אויטאָדאַפע^ מ ־ען,,аутодафе
,,אויטאָדידאַ^קט מ ־ן,,"самоучка, автодидакт"
,,אויטאָמאָבי^ל מ ־ן,,автомобиль
,,אויטאָמאַ^ט מ ־ן,,автомат
,,אויטאָמאַטיש א,,автоматический
,,אויטאָנאָ^ם א,,автономный
,,אויטאָנאָמיע וו,,автономия
,,אויטאָסטראַדע וו ־ס,,автострада
,,אויטאָקראַטיע [тье] וו,,автократия
,,אויטאָר מ ..אָ^רן (וו ..אָ^רשע),,автор
,,אויטאָריטאַריש א,,авторитарный
,,אויטאָריטע^ט 1. וו ־ן,,авторитет
,,אויטאָריטע^ט 2. מ ־ן,,авторитет (человек)
,,אוי^טאָרשאַפט וו,,авторство
,,אויטענטיש א,,аутентичный
,,אויטע^נטישקייט וו,,аутентичность
,,אויך אדוו.,,"1. тоже, также"
,,ווי אויך,,как и; а также
,,אויך מיר אַ..!,,тоже мне
,,אויך מיר אַן אויפטו!,,тоже мне подвиг!
,,אויך מיר אַ זאַך!,,подумаешь!
,,אויך מיר אַ קונץ!,,велика премудрость!
,,אויס ¹ 1. א פּרעד.,,законченный
,,און אויס!,,"кончено!, конец!, баста!,"
,,אויס ¹ 2. אדוו.,,"1. больше не, уже не"
,,זי איז אויס קינד,,"она уже не ребёнок,"
,,ווערן אויס סוד [סאָד],,перестать быть
,,עס איז אויס יום־טוב [יאָנטעוו],,праздник
,,עס איז אויס שידוך [שידעך],,больше речи
,,ס'איז אויס מיט אים,,для него всё
,,אויס ² פּרעפּ.,,1. из (указывает
,,אויס גלאָז,,из стекла
,,אויס הע^פלעכקייט,,из вежливости
,,אויס פריינדשאַפט,,по дружбе
,,אויס ³ קאָנוו.,,придаёт глаголу
,,אוי^ס׀טרינק׀ען,,выпить
,,אוי^ס׀שיס׀ן,,выстрелить
,,אוי^ס׀קוועטש׀ן,,выжать
,,אוי^ס׀קלייב׀ן,,выбрать
,,אוי^ס׀פּלאָנטער׀ן,,распутать
,,אוי^ס׀אָטעמ׀ען (אוי^סגעאָטעמט),,выдыхать
,,אוי^ס׀איב׀ן (אוי^סגעאיבט),,оказывать
,,אוי^ס׀אייל׀ן (אוי^סגעאיילט),,смазывать
,,אוי^סאַרבעטונג וו ־ען,,"производство,"
,,אוי^ס׀באָד׀ן (אוי^סגעבאָדן),,(вы)купать
,,אויסבאָדן זיך,,"1) (вы)купаться,"
,,l אויסבאַהאַלטן זיך,,"1) прятаться (долго,"
,,אוי^ס׀באַק׀ן (אוי^סגעבאַקן),,(с)печь;
,,אוי^ס׀באָרג׀ן (אוי^סגעבאָרגט) דאט.,,"ссужать,"
,,l אויסבאָרגן (ביי),,"занимать, брать взаймы"
,,אוי^ס׀בוי׀ען (אוי^סגעבויט),,построить;
,,אויף,,"осыпать кого-л. бранью,"
,,אויסבייג מ ־ן,,"выгиб, изгиб, сгиб"
,,אוי^ס׀בייג׀ן (אוי^סגעבויגן),,"выгибать,"
,,אויסבייט מ ־ן,,обмен
,,אוי^ס׀בייטל׀ען (אוי^סגעבייטלט),,обирать
,,אויסבייטלען זיך,,"издерживаться,"
,,l אויסבייטן זיך (מיט),,меняться с кем-л.
,,אוי^ס׀בינד׀ן (אוי^סגעבונדן),,1. вязать
,,אויסבינדן דעם שניפּס,,вывязывать/
,,אוי^סבינדער מ ־ס,,галстук
,,אוי^ס׀בלוי׀ען (אוי^סגעבלויט),,(вы)синить
,,אוי^ס׀בלייב׀ן (איז אוי^סגעבליבן),,оставаться
,,אויסבליק מ ־ן,,вид; перспектива
,,l אויסבעטן זיך,,устраивать себе постель
,,אויס׀בעט׀ן ² (אוי^סגעבעטן),,"выпрашивать,"
,,אוי^סבעסערונג וו ־ן,,"поправка,"
,,אוי^ס׀בראָט׀ן (אוי^סגעבראָטן),,"(с)жарить,"
,,אויסבראָך מ ־ן,,1. извержение (вулкана)
,,אוי^ס׀ברוקיר׀ן (אוי^סברוקירט),,(вы)мостить
,,אוי^סברייטערונג וו ־ען,,"расширение,"
,,אוי^ס׀בריי׀ען (אוי^סגעברייט),,"1. объяснять,"
,,וועלן אויסברייען,,"вести (речь), клонить,"
,,וואָס וויל ער אויסברייעןЯ,,к чему он
,,אוי^ס׀בריִ׀ען (אוי^סגעבריט),,"1. высиживать,"
,,l אויסבריִען זיך,,"вылупливаться (из яйца),"
,,אוי^ס׀ברעכ׀ן (אוי^סגעבראָכן),,1. (внезапно)
,,אוי^סגעבראַכט),,"1. расходовать,"
,,l אויסברענגען זיך,,потратить слишком
,,אוי^סברענגער מ ־ס (וו ־קע),,"расточитель,"
,,אוי^סברענגעריש א,,расточительный
,,אוי^ס׀ברענ׀ען (אוי^סגעברענט),,"1. сгорать,"
,,אויסגאָב מ,,сдача (при покупке)
,,אוי^סגאַבע וו ־ס,,1. издание (печатное)
,,אוי^סגאַנגלאָז(יק) א,,"безвыходный,"
,,אוי^סגאַנגפּונקט מ ־ן,,"исходный пункт,"
,,אויסגיין פאַר/פון,,"умирать от..., с..."
,,אויסגיין פון הונגער,,умирать с голоду
,,מ'קאָן אויסגיין פאַר לאַנגווייל,,можно
,,אויסגיין נאָך,,"1) сильно желать чего-л.,"
,,ער גייט אויס נאָך אַ טרונק,,он томится
,,l אויסגיין צו,,иметь отрицательные
,,דאָס וועט אויסגיין צו געלט,,это отразится
,,אוי^ס׀גיס׀ן (אוי^סגעגאָסן),,1. выливать
,,אויסגיסן דעם כּעס [קאס] אויף,,вылить гнев
,,אויסגיסן דאָס בי^טערע האַרץ,,излить
,,l אויסגיסן זיך,,1) выливаться
,,אויסגלאָצן די אויגן,,таращить/пучить/
,,אויסגליטש מ ־ן,,"промах, ошибка"
,,אויסגלייך מ ־ן,,"(мировая) сделка,"
,,l אויסגלייכן זיך,,выравниваться;
,,אוי^ס׀גליִ׀ען (אוי^סגעגליט),,"выкаливать,"
,,אוי^ס׀גלעט׀ן (אוי^סגעגלעט),,"гладить,"
,,אוי^סגעבויג_ן א,,выгнутый; изогнутый
,,קענ׀ען אויסגעבונדן,,"знать кого-л., как"
,,קענ׀ען (ווי) אויסגעבונדן,,знать что-л.
,,ניט ווערט קיין אויסגעבלאָזן איי,,яйца
,,אוי^סגעבלייזט א,,"обнажённый, оголённый;"
,,אוי^סגעבלייכט א,,"бледный, побледнелый"
,,אוי^ס׀געב׀ן (אוי^סגעגעבן),,"1. расходовать,"
,,l אויסגעבן זיך,,"выдаваться, случаться,"
,,l אויסגעבן זיך פאַר,,выдавать себя
,,אוי^סגעדאַרט א,,"высохший, исхудалый"
,,אוי^סגעדייווערט א,,"измождённый,"
,,אוי^סגעדינט א,,"1. (обычно о солдате,"
,,אוי^סגעהאַלטנקייט וו,,"стройность,"
,,(פּארט. פון אויסהאָרעווען),,истомлённый/
,,אוי^סגעווייקט א,,1. вымоченный;
,,l אויסגעווייקט אין,,перен. (о человеке)
,,אוי^סגעוועפּט א,,"1. выдохшийся,"
,,אוי^סגעטאָן א (אוי^סגעטאָנענ׀ער),,раздетый;
,,אוי^סגעטראַכט א,,"выдуманный,"
,,געוואָרן),,1) (об источнике и т. п.)
,,אוי^סגעכאָליעט א,,"сытый, холёный"
