unique	NE
אבערהאגענטאל	LOC
אָבערהאַגענטאַל	LOC
אבערהאלאברון	LOC
אָבערהאָלאַברון	LOC
אבערהאם	LOC
אבערוואדאס	LOC
אבערווישווא	LOC
אבער ווישווא	LOC
אבערווישווע	LOC
אבער ווישווע	LOC
אבערזיצק	LOC
אבערטילערי	LOC
אבערטין	LOC
אָבערטין	LOC
אָבערטין 	LOC
אבערלאנץ	LOC
אבער-לאנץ	LOC
אבערלוישטאט	LOC
אָבערלױשטאַט	LOC
אבערמאשעל	LOC
אָבערמאָשעל	LOC
אבערן	LOC
אבערנברייט	LOC
אבערן ברייט	LOC
אבערנדארף	LOC
אבערנהיים	LOC
אבערנצען	LOC
אָבערנצען	LOC
אבער פעטישן	LOC
אבער ריבניטץ	LOC
אבערשטיין	LOC
אָבערשטײן	LOC
אבערשיצק	LOC
אבראהאם	LOC
אַבראַהאַם	LOC
אבראהם	LOC
אבראַזעז	LOC
אבראט	LOC
אבראם	LOC
אבראן	LOC
אָבראַן	LOC
אבראני	LOC
אָבראָני	LOC
אבראַנקע	LOC
אברארשל	LOC
אברהאם	LOC
אברודבאניע	LOC
אָברודבאַניע	LOC
אברווישא	LOC
אברזידק	LOC
אברטין	LOC
אבריגהיים	LOC
אָבריגהיים	LOC
אבריטין	LOC
אברינגא	LOC
אברישארע	LOC
אברמובו	LOC
אבשא	LOC
אגאכסיה	LOC
אגאכסיו	LOC
אגארד	LOC
אַגאַרד	LOC
אגדענסבורג	LOC
אגוסטאב	LOC
אגטינא	LOC
אגיזינסק	LOC
אגיסטב	LOC
אגנע	LOC
אגערבעק	LOC
אגראביטש	LOC
אגראדזענץ	LOC
אָגראָזענץ	LOC
אגראם	LOC
אגריפון	LOC
אגריש	LOC
אַגריש	LOC
אגרמונט	LOC
אגרעש	LOC
אדא	LOC
אדאבעשט	LOC
אָדאָבעשט	LOC
אדאבעשטי	LOC
אדאָװסק	LOC
אָדאַלדאָ 	LOC
אדאמאוו	LOC
אַדאַמאָװ	LOC
אדאמאש	LOC
אַדאַמאַש	LOC
אדאמוב	LOC
אדאמוש	LOC
אַדאַמוש	LOC
אדאמיש	LOC
אַדאָמעװקע 	LOC
אדאן	LOC
אָדאָן	LOC
אדאני	LOC
אָדאָני	LOC
אדאראש	LOC
אָדאָרהױ 	LOC
אדארהיי	LOC
אד-דאר אל-בידא	LOC
אדווארי	LOC
אדווארנאק	LOC
אדזאעט	LOC
אדזע	LOC
אדזשוד	LOC
אדזשיוויל	LOC
אָדזשיװיל 	LOC
אדיאק פאלא	LOC
אדיגפאָלװאָ	LOC
אדיגת	LOC
א דיערעש	LOC
אדירנה	LOC
אדלסדארף	LOC
אַדלסדאָרף	LOC
אַדעזשין	LOC
אדעלבורג	LOC
אדעלנוי	LOC
אדעלנויא	LOC
אדעלסק	LOC
אַדעלסק	LOC
אַדעלסק 	LOC
אדעם	LOC
אַדעמיש 	LOC
אדעס	LOC
אַדעס	LOC
אַדעס 	LOC
אדעסא	LOC
אדעסה	LOC
אדעססא	LOC
אדעססי	LOC
אדעססע	LOC
אָדער 	LOC
אָדערכעװ 	LOC
אַדערסדאָרף	LOC
אַדעשדאָרף	LOC
אדראַכאָװ	LOC
אדריאנאפאל	LOC
אַדריאַנאָפּאָל	LOC
אדריאנופולי	LOC
אדריאנופלי	LOC
אדרינפוליט	LOC
אַדרעזשין 	LOC
אדרעקקערעסטור	LOC
"אה""ו"	LOC
"אה""ק"	LOC
אָהאָט	LOC
אהאטקאטש	LOC
אָהאָטקאָטש	LOC
אהאלאָװ	LOC
אהובניב	LOC
אהייא	LOC
אהיפאלא	LOC
אהלויא	LOC
אהנאווקא	LOC
אהריב	LOC
אָהריב	LOC
אהרישאר	LOC
אהרליך	LOC
 ארשקוט	LOC
"או""ד"	LOC
אוב בשלעזיא	LOC
אובילא	LOC
אובין	LOC
אובין ישן	LOC
אובליא	LOC
אובלע	LOC
אובן	LOC
אובן ישן	LOC
אובעראורשל	LOC
אובער-וויקיב	LOC
אובער-ווישא	LOC
אובערווישאווע	LOC
אובערזיצק	LOC
אובערשימצק	LOC
אובראן	LOC
אוברווישא	LOC
אוברזיצק	LOC
אוברטין	LOC
אוברעזש	LOC
אוגאַלין	LOC
אוגאר	LOC
אוגאָר	LOC
אוגארט	LOC
אוגאש	LOC
אוגוסטאוו	LOC
אוגלא	LOC
אוגלי 	LOC
אוגסבורג	LOC
אוגשפורק	LOC
אודוארי	LOC
אודווא	LOC
אודווארד	LOC
אודווארהעלי	LOC
אודווארי	LOC
אודווארי'	LOC
אודוואריבא	LOC
אודוואריבע	LOC
אודווארנאק	LOC
אודװא	LOC
אודװאר	LOC
אודװאָרד	LOC
אודװאָרהעלי	LOC
אודװאָרי	LOC
אודװאריבא	LOC
אודװאָרנאָק	LOC
אודז'יבול	LOC
אודילסק	LOC
אודיסה	LOC
אודיססא	LOC
אודנבורג	LOC
אודנבורק	LOC
אודסה	LOC
אוהלווינץ	LOC
אוהן	LOC
אוהניב	LOC
אוהעל	LOC
אוהעלי	LOC
אוהעלך	LOC
אוהרשאר	LOC
אוואנטע	LOC
אַוואָנטע	LOC
אווארי	LOC
אוואשאויוואראש	LOC
אוואשאויפאלו	LOC
אווואראוויטש	LOC
אוויניון	LOC
אוויראן	LOC
אווערבאס	LOC
א ווערבאס	LOC
אוורוטש	LOC
אווריטש	LOC
אוושפאל	LOC
אוושפּאָל	LOC
אוּװאַראָװיטש 	LOC
אוז'ארוב	LOC
אוז'נדוב	LOC
אוז'פאליאי	LOC
אוזאָן	LOC
אוזדיוטיץ	LOC
אוזדיסענטפעטער	LOC
אוזדיסענטפּעטער	LOC
אוזדע	LOC
אוזדע 	LOC
אוזווינט	LOC
אוזווענט	LOC
אוזורוב	LOC
אוזורקוב	LOC
אוזװענט	LOC
אוזװענט 	LOC
אוזייראן	LOC
אוזיערני	LOC
אוזיראן	LOC
אוזירוב	LOC
אוזירנע	LOC
אוזירקאב	LOC
אוזליאן	LOC
אוזליאַן 	LOC
אוזערנאי	LOC
אוזערקאוו	LOC
אוזער קאוו	LOC
אוזראָװיץ	LOC
אוזרוב	LOC
אוזשהאראך	LOC
אוזשפאל	LOC
אוזשפּאָל	LOC
אוזשפּאָל 	LOC
אוחאנייה	LOC
אוחניה	LOC
אוטולינגו	LOC
אוטומאני	LOC
אוטיאן	LOC
אוטיאַן	LOC
אוטיאַן	LOC
אוטיאַן 	LOC
אוטינא	LOC
אוטיניה	LOC
אוטיץ	LOC
אוטיק	LOC
אוטליינגו	LOC
אוטלינגו	LOC
אוטרעכט	LOC
אויאזד	LOC
אויאסט	LOC
אויבער אפשא	LOC
אויבער בארסא	LOC
אויבער ביסטרא	LOC
אויבער ווישווא	LOC
אויבער-ווישווה	LOC
אויבערזיצק	LOC
אויבער סוטש	LOC
אויבער רינע	LOC
אויבר-אפשא	LOC
אויבר-ביסטרא	LOC
אויברווישע	LOC
אויברזיצק	LOC
אויבר-רינה	LOC
אויברשיטץ	LOC
אויגוסטאווע	LOC
אויגזבורג	LOC
אויגשבורג	LOC
אויהעל	LOC
אויהעלי	LOC
אויוואר	LOC
אויוואראש	LOC
אויווארש	LOC
אויוואשאר	LOC
אויוועראש	LOC
אויזד	LOC
אויזיני	LOC
אויזינע	LOC
אוילאק	LOC
אוּילאָק	LOC
אוילווארש	LOC
אוילונה	LOC
אוינוון	LOC
אוינייון	LOC
אויסאלאק	LOC
אויסבאך	LOC
אויסטערליץ	LOC
אויסטראביע	LOC
אויסטרליץ	LOC
אויסע	LOC
אוי סעקעל	LOC
אויעזד	LOC
אויערבאך	LOC
אויעריך	LOC
אויפאזא	LOC
אויפאי לאוי	LOC
אויפאלא	LOC
אויפאלו	LOC
אויפאלי	LOC
אויפאליע	LOC
אויפהויזן	LOC
אויפעהערטו	LOC
אויפעהערטוי	LOC
אויפעלד	LOC
אויקאניזשע	LOC
אוירא	LOC
אויראדנא	LOC
אויריך	LOC
אויש	LOC
אוישא	LOC
אוישפורק	LOC
אוכװישץ	LOC
אולא	LOC
אולאזוב	LOC
אולאנאוו	LOC
אולאַנאָװ	LOC
אולאנוב	LOC
אולאָק 	LOC
אולאשקאוויץ	LOC
אולאשקובצה	LOC
אולאשקוויץ	LOC
אולאשקיוויץ	LOC
אולה	LOC
אולומואוץ	LOC
אולוץ	LOC
אוליזארקה	LOC
אוליטש	LOC
אוליינאב	LOC
אוליינוב	LOC
אולינאב	LOC
אולינוב	LOC
אוליקא	LOC
אולם	LOC
אולמבאך	LOC
אולמבאַך	LOC
אולמוניץ	LOC
אולניצי	LOC
אולסקו	LOC
אולע	LOC
אולע 	LOC
אולפעלד	LOC
אולפעלר	LOC
אולקייניקי	LOC
אולקסנדריה	LOC
אולשטין	LOC
אולשניצה	LOC
אומא	LOC
אומאן	LOC
אומאַן	LOC
אומאני	LOC
אומין	LOC
אומען	LOC
אומען 	LOC
אומשאד	LOC
אונאוו	LOC
אונאָװ	LOC
אונארט	LOC
אונג' בראד	LOC
אונגא	LOC
אונגאַריש־אָסטרױ	LOC
אונגאריש אוסטרוי	LOC
אונגאריש בעטשע	LOC
אונגאריש בראד	LOC
אונגאַריש בראָד	LOC
אונגארן	LOC
אונגאַרן	LOC
אונגוואהר	LOC
אונג וואהר	LOC
אונגוואר	LOC
אונגווואהר	LOC
אונגוויר	LOC
אונגווער	LOC
אונגורען	LOC
אונגװאַר	LOC
אונגװער	LOC
אונגען	LOC
אונגען 	LOC
אונגעני	LOC
אונגעניא	LOC
אונגעריש נעמיזשע 	LOC
אונגערן	LOC
אונגערן 	LOC
אונגריש	LOC
אונגריש בראד	LOC
אונגריש בראדי	LOC
אונגרשבראד	LOC
אונדבורק	LOC
אונדע	LOC
אונטעראויפאלא	LOC
אונטעראױפאָלאָ	LOC
אונטעראפשע	LOC
אונטעראַפּשע 	LOC
אונטעראָפּשע	LOC
אונטעראשקעלא	LOC
אונטערבארסע	LOC
אונטערביסטרע	LOC
אונטערבריסטע 	LOC
אונטערבריסטער	LOC
אונטערגאדי	LOC
אונטערדאם	LOC
אונטער-דאם	LOC
אונטער דער קאַמער	LOC
אונטער-וויקיב	LOC
אונטער ווישיווע	LOC
אונטערווישעווע	LOC
אונטערװישװע	LOC
אונטערװישעװע	LOC
אונטערװערעצקי	LOC
אונטערװערעצקע 	LOC
אונטער לאנץ	LOC
אונטער-לאנץ	LOC
אונטערלאפאש	LOC
אונטערלאפּאָש	LOC
אונטערלאָפּיש 	LOC
אונטערליסקאָ	LOC
אונטערמישלע	LOC
אונטערמישלע 	LOC
אונטערסוטש	LOC
אונטערסוטש 	LOC
אונטערפּאלינאק	LOC
אונטעררוס	LOC
אונטערריבניץ	LOC
אונטערריבניץ 	LOC
אונטעררינא	LOC
אונטעררינע 	LOC
אונטער-רינע	LOC
אונטעררעמעט	LOC
אונטעררעפא	LOC
אונטעררעפּא	LOC
אונטערשאיא	LOC
אונטערשאַיאָ	LOC
אונטערשאראד	LOC
אונטערשאַראד	LOC
אונטראדאם	LOC
אונטראנטו	LOC
אונטר-אפשא	LOC
אונטרדאם	LOC
אונטר-ווישוואָ	LOC
אונטר-ווישווה	LOC
אונטר-רינה	LOC
אונטר רינע	LOC
אונטשעשט	LOC
אוניאוו	LOC
אוניאווע	LOC
אוניאן	LOC
אוניווע	LOC
אוניון	LOC
אונייעוו	LOC
אונייצ'ה	LOC
אונין	LOC
אוניעווא	LOC
אוניעיאוו	LOC
אונסדארף	LOC
אונסדאָרף	LOC
אונסלעבן	LOC
אונסלעבען	LOC
אונע	LOC
אונצ'שט	LOC
אונצדארף	LOC
אונקיטעשט 	LOC
אונקשטיל	LOC
אונרושטאט	LOC
אונרושטאַט	LOC
אונשדארף	LOC
אוסאָלאָסע 	LOC
אוסד	LOC
אוסובה וישקה	LOC
אוסוויע	LOC
אוסטי	LOC
אוסטילא	LOC
אוסטילה	LOC
אוסטילוג	LOC
אוסטילע	LOC
אוסטיצקא	LOC
אוסטיצקי	LOC
אוסטירא	LOC
אוסטערליינקע	LOC
אוסטצא	LOC
אוסטצענאוו	LOC
אוסטצענאָװ	LOC
אוסטרא	LOC
אוסטראה	LOC
אוסטראוו	LOC
אוסטראווע	LOC
אוסטראווצא	LOC
אוסטראווצי	LOC
אוסטראף	LOC
אוסטראפאלי	LOC
אוסטרה	LOC
אוסטרהא	LOC
אוסטרובייץ	LOC
אוסטרוג	LOC
אוסטרוז'ץ	LOC
אוסטריג	LOC
אוסטריה	LOC
אוסטריך	LOC
אוסטרין	LOC
אוסטרינה	LOC
אוסטריק	LOC
אוסטרעווע	LOC
אוסטשװילק	LOC
אוסיאק	LOC
אוסיינציני	LOC
אוסיק	LOC
אוסלו	LOC
אוסלוב ביאלי	LOC
אוסליע	LOC
אוספאס	LOC
אוסצ'יקי דולנה	LOC
אוסציא	LOC
אופא	LOC
אופֿאַ	LOC
אופאד	LOC
אופאני	LOC
אופּאָני	LOC
אופאר	LOC
אופּאָר	LOC
אופוטשנה	LOC
אופּוטשנה	LOC
אופולהלובלסקי	LOC
אופולי	LOC
אופטובייץ	LOC
אופטי	LOC
אופטיה	LOC
אופיבאך	LOC
אופינע	LOC
אופּינע	LOC
אופּינע 	LOC
אופנהיים	LOC
אופנהם	LOC
אופסה	LOC
אופערטי	LOC
אופראן	LOC
אוקונייב	LOC
אוקינגען	LOC
אוקלאנד	LOC
אוקליש	LOC
אוקמניץ	LOC
אוקנה-שוגאטאג	LOC
אוקראאינע	LOC
אוקראינע	LOC
אוקראַינע	LOC
אוקראַיִנע	LOC
אוקריטויא	LOC
אוקרײַנע 	LOC
אור	LOC
אורא	LOC
אוראדיה	LOC
אוראטא	LOC
אוראַלי	LOC
אוראניש	LOC
אוראָנקע 	LOC
אורבא	LOC
אורבע	LOC
אורדי	LOC
אורוב	LOC
אורולו	LOC
אורוסדזשוק	LOC
אורזיסטשוב	LOC
אוריוו	LOC
אוריול	LOC
אוריװ	LOC
אוריװע	LOC
אוריך	LOC
אורין	LOC
אוריעוו	LOC
אוריעװ	LOC
אוריִעװ 	LOC
אוריצק 	LOC
אורלא	LOC
אורלה	LOC
אורלובה	LOC
אורלי	LOC
אורלי'	LOC
אורליא	LOC
אורליינס	LOC
אורליך	LOC
אורלע	LOC
אורמיה	LOC
אורמין	LOC
אורנאנאר	LOC
אורסיג	LOC
אורעטשא	LOC
אורעטשע	LOC
אורעטשע 	LOC
אורעצא	LOC
אורפה	LOC
אורשא	LOC
אורשאװס	LOC
אורשה	LOC
אורשוויא	LOC
אורשיווא	LOC
אורשיווע	LOC
אורשנאװיץ	LOC
אורשע	LOC
אורשעווע	LOC
אורשפרינגען	LOC
אורשפּרינגען	LOC
אושאַטין	LOC
אושאטש	LOC
אושאַטש 	LOC
אושאמיר	LOC
אושאָמיר	LOC
אושאץ	LOC
אושאַץ	LOC
אושבעצין	LOC
אושווענצים	LOC
אושװער	LOC
אושטלריש	LOC
אושטרייך	LOC
אושטריך	LOC
אושטשי	LOC
אושיאקוב	LOC
אושייצק	LOC
אושיק	LOC
אושמיאני	LOC
אושע	LOC
אושפאל	LOC
אושפּאָל 	LOC
אושפורק	LOC
אושפיצין	LOC
אושפיצען	LOC
אושפצין	LOC
אושפציען	LOC
אושצייה זיילונה	LOC
אושצייצ'קו	LOC
אושקה	LOC
אַװאַנטע 	LOC
אָװאָרי	LOC
אַװאַרעדאָק	LOC
אָװאָשאויװאַראָש	LOC
אָװאָש און געגענט	LOC
אַװדאָיעװקע	LOC
אָװטשע 	LOC
אַװראָטענע	LOC
אָװרוטש	LOC
אָװריטש 	LOC
אױאַזד	LOC
אױב	LOC
אױבאזא	LOC
אױגוסטאַװע	LOC
אױגסבורג	LOC
אױדיער	LOC
אױװאר	LOC
אױװאַר	LOC
אױװאַראָש	LOC
אױװאָראָש	LOC
אױװאַשאַר	LOC
אױװן 	LOC
אױװעראָש 	LOC
אױזדע	LOC
אױטאן	LOC
אױלאק	LOC
אױלאָק	LOC
אױסאָלאָק	LOC
אױסבאַך	LOC
אױסטערליץ	LOC
אױסע	LOC
אױעזד	LOC
אױפּאָזואַ	LOC
אױפאיטא	LOC
אױפֿאָלאָ	LOC
אױפאָלו	LOC
אױפהױזן	LOC
אױפהערטױ	LOC
אױפעלד	LOC
אױץ	LOC
אױקאניזשע	LOC
אױראָדנאָ	LOC
אױש	LOC
אזאר	LOC
אָזאָר	LOC
אזאריטש	LOC
אַזאַריטש 	LOC
אַזאַריניץ 	LOC
אזארעוו	LOC
אָזאַרעװ	LOC
אזארעניץ	LOC
אזארקאוו	LOC
אָזאָרקאָװ	LOC
אזארקוב	LOC
אזד	LOC
אָזד	LOC
אַזדיטיטש 	LOC
אזולה	LOC
אזולה די טרוויזיה	LOC
אזװיר	LOC
אַזיאָר	LOC
אזידאוו	LOC
אָזידאָװ	LOC
אזיעל	LOC
אזיעראן	LOC
אָזיעראַן	LOC
אזיפאלי	LOC
אזיפאליא	LOC
אזיפאליע	LOC
אַזיפּאָליע	LOC
אזירייאן	LOC
אַזיריץ 	LOC
אזמיר	LOC
אזעפאליא	LOC
אזעפאליע	LOC
אזעראוו	LOC
אזערנא	LOC
אזערני	LOC
אזערניצע	LOC
אָזערניצע	LOC
אָזערניצע 	LOC
אָזערצע	LOC
אזערקאב	LOC
אזערקאוו	LOC
אזערקעוו	LOC
אָזערקעװ 	LOC
אזרוב	LOC
אַזריאַן 	LOC
אזרקוב	LOC
אזשאר	LOC
אזשבראװיץ	LOC
אָזשװע 	LOC
אזשיני	LOC
אָזשיני	LOC
אָזשענע 	LOC
אזשעראן	LOC
אָזשעראַן	LOC
אָזשערנע 	LOC
אָזשרעװ 	LOC
אחאטא	LOC
אָטאַד	LOC
אטאווא	LOC
אטאלבארא	LOC
אטאמאני	LOC
אָטאָמאַני	LOC
אטאן	LOC
אטהאט	LOC
אטוואצק	LOC
אטווע	LOC
אטומנא	LOC
אטוניא	LOC
א טורדא	LOC
אָטװאָצק	LOC
אָטװאָצק 	LOC
אַטיאַ	LOC
אָטיװנאָװ	LOC
אטיניא	LOC
אטיניע	LOC
אַטיניע	LOC
אטינעװיש	LOC
אטיק	LOC
אָטיק 	LOC
אטלאנטא	LOC
אטלאנטיק סיטי	LOC
אטעלסבורג	LOC
אטען	LOC
אטענזויס	LOC
אָטענזױס	LOC
אטעניע	LOC
אָטעניִע	LOC
אטעסאלקע	LOC
אטערבערג	LOC
אָטערבערג	LOC
אטפאלי	LOC
אָטפֿינעװ 	LOC
אָטקאָװ	LOC
אטקאר	LOC
אטראצהיים	LOC
אַטראַץהײם	LOC
אטראקטש	LOC
אטש	LOC
אַטש	LOC
אטשא	LOC
אָטשא	LOC
אָטשאָ	LOC
אטשאד	LOC
אָטשאַד	LOC
אטשאקאוו	LOC
אָטשאַקאָװ	LOC
אַטשאַקיװ 	LOC
אטשאר	LOC
אַי	LOC
איאק	LOC
איבאַ	LOC
איבורה	LOC
איבערהױזן	LOC
איבראין	LOC
איבראן	LOC
איבראני	LOC
איבראַני	LOC
איבראנקע	LOC
איבריא	LOC
איבריאַ	LOC
איבריאה	LOC
איבריזשע	LOC
איבריין	LOC
איבריש	LOC
איברעזש	LOC
איברעזשע	LOC
אי ג'רבה	LOC
איגאלאמיע	LOC
איגאָלאָמיע	LOC
איגאר	LOC
איגאָר	LOC
איגומן	LOC
איגלא	LOC
איגלאמיע	LOC
איגלוי	LOC
איגליא	LOC
איגלע	LOC
איגלע 	LOC
איגנאַטאָװקע 	LOC
איגנאטובקה	LOC
איגנאַטקע 	LOC
איגנאלינע	LOC
איגנאַלינע	LOC
איגנאַלינע 	LOC
איגניצע	LOC
איגנעץ	LOC
איגענהיים	LOC
איגער	LOC
איגר	LOC
איגראנע	LOC
איגרושקע 	LOC
איגריץ	LOC
איגריצע	LOC
אידאָ	LOC
אידווארי	LOC
אידוואריי'	LOC
אי דוריש	LOC
אידליץ	LOC
איהומין	LOC
איהומן	LOC
איהומען	LOC
איהן	LOC
איהעל	LOC
איהעני	LOC
איהר	LOC
איואניקי	LOC
איוד	LOC
איוואטשעוויץ	LOC
איוואנגראד	LOC
איוואניסקה	LOC
איוואניץ	LOC
איוואנקאוו	LOC
איוואסקיוויטץ	LOC
איוואצעוויטש	LOC
איוואשקאוויץ	LOC
איוויא	LOC
איוויה	LOC
איוויינייץ	LOC
איווינץ	LOC
איוויע	LOC
איווניטץ	LOC
איווניצע	LOC
איוועניץ	LOC
איוועשט	LOC
איוזדע	LOC
איוחאן	LOC
איװאן	LOC
איװאַן	LOC
איװאַנאָװ	LOC
איװאַנאָװיץ	LOC
איװאַנגאָראָד	LOC
איװאַני	LOC
איװאַנצק	LOC
איװאַנקאַ	LOC
איװאַנקאָװ	LOC
איװאַנקע 	LOC
איװאַנקעװיץ 	LOC
איװאַצעװיטש	LOC
איװאַרקאָװיץ	LOC
איװאַשקאָװיץ	LOC
איװאַשקעװיץ 	LOC
איװױניטש	LOC
איװטשע 	LOC
איװיע	LOC
איװיע 	LOC
איװניצע 	LOC
איװעגשיר	LOC
איװעניץ	LOC
איװעשט	LOC
איזא	LOC
איזאבאלין	LOC
איזאבעלין	LOC
איזאַבעלין	LOC
איזא פאלי	LOC
איזבודיא	LOC
איזביטץ	LOC
איזביצה	LOC
איזביצה קויאווסקה	LOC
איזביצע	LOC
איזבעלין	LOC
איזגעריץ	LOC
איזדעביק	LOC
איזטאַנטש	LOC
איזיאוב	LOC
איזיאוו	LOC
איזיאָװ	LOC
איזידוב	LOC
איזיום 	LOC
איזלוטשיסטע 	LOC
איזמאאיל	LOC
איזמאַאיל	LOC
איזמאיל	LOC
איזמוויל	LOC
איזמייל	LOC
איזמיר	LOC
איזמײַל 	LOC
איזמר	LOC
איזנאסיטש	LOC
איזע	LOC
איזע 	LOC
איזענהיים	LOC
איזענהײם	LOC
איזער נא	LOC
איזפינמעא סמוך לדעעש	LOC
איזרעביק	LOC
איזשאק	LOC
איזשאַק	LOC
איזשביץ	LOC
איזשביץ 	LOC
איזשביצא	LOC
איזשביצע	LOC
איזשביצע 	LOC
איזשניצע	LOC
איזשניצע 	LOC
איזשנעט	LOC
איזשעפּ	LOC
איזשעפּף	LOC
איטאַליע	LOC
איטינגין	LOC
איטינגען	LOC
איטליא	LOC
איטע 	LOC
איטשניע	LOC
איטשניע 	LOC
אייאווא	LOC
אייאווע	LOC
אייבניץ	LOC
אייבענשיטץ	LOC
אייבענשיץ	LOC
אייבעראפשע	LOC
אייבערבארסע	LOC
אייבערביסטרע	LOC
אייבערגאדי	LOC
אייבערגין	LOC
אייבערוויזניצע	LOC
אייבערווישניצע	LOC
אייבערווישעווע	LOC
אייבערטעקעש	LOC
אייבערטריט	LOC
אייבערלאפאש	LOC
אייבערמישלע	LOC
אייבערסוטש	LOC
אייבערסעטש	LOC
אייבערריבניץ	LOC
אייבעררינא	LOC
אייבער-רינע	LOC
אייבעררעמעט	LOC
אייבשיטץ	LOC
אייבשיץ	LOC
אייגרא	LOC
איידהויזן	LOC
איידליץ	LOC
איידקונען	LOC
אייוויע	LOC
אייזינשטאט	LOC
אייזנשטאט	LOC
אייזענשטאדט	LOC
אייזענשטאט	LOC
אייכענהויזען	LOC
אייכשטעטן	LOC
אייסין	LOC
אייראגאלע	LOC
איירופא	LOC
איישיסאק	LOC
איישישאק	LOC
איישישוק	LOC
איכאן	LOC
איכע הויזן	LOC
איכענהויזן	LOC
איכענהױזן	LOC
אילאָבאַ	LOC
אילאווא	LOC
אילאווי	LOC
אילאווע	LOC
אילאַװע	LOC
אילאַװע 	LOC
אילאז	LOC
אילאנא	LOC
אילאנדא	LOC
אילאנדע	LOC
אילאַנדע 	LOC
אילאנוב	LOC
אילאק	LOC
אילאָק	LOC
אילאק ? אליקע ?	LOC
אילאשקאוויץ	LOC
אילאַשקאָװיץ	LOC
אילג	LOC
אילווא מארע	LOC
אילוועש	LOC
אילועמיקע	LOC
אילוקסט 	LOC
אילװאַ מאַרע	LOC
אילװעש	LOC
אילז'ה	LOC
אילזאש	LOC
אילזוש	LOC
אילזיש	LOC
אילטשװע	LOC
אילייה	LOC
אילינאָװ	LOC
איליע	LOC
איליע 	LOC
איליעװ	LOC
איליץ	LOC
איליש	LOC
אילישא	LOC
אילישאע	LOC
אילישעטש	LOC
אילל.	LOC
איללאנדא	LOC
איללאק	LOC
אילניצע	LOC
אילניק	LOC
אילעװ 	LOC
אילעװע 	LOC
אילענעוו	LOC
אילענעװ	LOC
אילענעװ 	LOC
אילעס	LOC
אילעראייכן	LOC
אילעראײכן	LOC
אילפעלד	LOC
אילק	LOC
אילשקאן	LOC
אימאָלע	LOC
אימאן	LOC
אימאנטא	LOC
אימילאסיע	LOC
אימלינג	LOC
אימעניץ 	LOC
אימרע	LOC
אימשאד	LOC
אינ	LOC
אינאוולאדז	LOC
אינאווע	LOC
אינאווראטצלאוו	LOC
אינאווראצלאוו	LOC
אינאָװלאָדז	LOC
אינאָװראַצלאָװ	LOC
אינאטשאוויץ	LOC
אינאַטשאָװיץ	LOC
אינאַטשקע	LOC
אינאנטש	LOC
אינגאלשטאט	LOC
אינגאָלשטאַט	LOC
אינגוויילער	LOC
אינגווער	LOC
אינגולעץ	LOC
אינגולעץ 	LOC
אינגװײלער	LOC
אינגערהיים	LOC
אינגערהײם	LOC
אינגריץ	LOC
אינד.	LOC
אינדיאנא	LOC
אינדיאנאפאליס	LOC
אינדעװע	LOC
אינובלודז	LOC
אינוואלאדז	LOC
אינטוריק	LOC
אינטוריק 	LOC
אינטיר טריד	LOC
אינטערדאם	LOC
אינטער וואדאס	LOC
אינטער יאפא	LOC
אינטערשין	LOC
אינטראדאם	LOC
אינטר בארסא	LOC
אינטשעסט	LOC
איניאווי	LOC
